K,H,W,C,R,TK,TH,TW,BK,BH,BW,CMult,Time
64,112,112,3,7,1,1,1,32,8,4,1,0.23392
64,112,112,3,7,2,1,2,32,8,1,3,0.18382500000000002
64,112,112,3,7,2,1,1,32,8,2,1,0.16947
64,112,112,3,7,2,1,1,32,8,1,1,0.18157
64,112,112,3,7,2,2,2,32,2,1,1,0.0864
64,112,112,3,7,1,1,1,32,4,1,1,0.20264
64,112,112,3,7,2,2,4,32,4,2,1,0.05194
64,112,112,3,7,2,1,8,32,1,1,1,0.053935
64,112,112,3,7,2,2,4,32,1,2,1,0.04957
64,112,112,3,7,2,1,4,32,8,1,3,0.12910500000000003
64,112,112,3,7,1,1,1,32,2,7,3,0.29795
64,112,112,3,7,2,1,4,32,4,1,1,0.069905
64,112,112,3,7,2,2,7,32,8,1,3,0.111535
64,112,112,3,7,1,1,2,32,14,1,3,0.201875
64,112,112,3,7,2,1,2,32,4,2,1,0.09898
64,112,112,3,7,2,1,2,32,14,1,3,0.184115
64,112,112,3,7,2,1,1,32,7,4,3,0.33184
64,112,112,3,7,2,2,2,32,4,2,1,0.074605
64,112,112,3,7,1,2,2,32,2,4,3,0.128365
64,112,112,3,7,2,2,2,32,1,2,1,0.066125
64,112,112,3,7,1,2,8,32,7,1,1,0.057745
64,112,112,3,7,1,2,4,32,14,1,1,0.090675
64,112,112,3,7,2,1,1,32,4,7,3,0.324275
64,112,112,3,7,1,1,1,32,2,4,3,0.256785
64,112,112,3,7,1,1,1,32,7,4,1,0.2441
64,112,112,3,7,2,2,4,32,4,1,1,0.06157
64,112,112,3,7,1,1,1,32,4,1,3,0.30605
64,112,112,3,7,2,1,1,32,1,8,1,0.14371
64,112,112,3,7,2,1,4,32,1,2,1,0.066125
64,112,112,3,7,2,1,8,32,8,1,1,0.07136
64,112,112,3,7,2,1,1,32,16,2,1,0.20404499999999998
64,112,112,3,7,1,1,1,32,16,2,1,0.24683500000000003
64,112,112,3,7,2,1,2,32,14,2,3,0.19034
64,112,112,3,7,2,1,2,32,4,1,1,0.101395
64,112,112,3,7,1,1,2,32,1,2,1,0.10864
64,112,112,3,7,2,1,2,32,2,2,1,0.09226
64,112,112,3,7,2,2,8,32,7,1,1,0.074095
64,112,112,3,7,2,1,7,32,4,1,3,0.09357
64,112,112,3,7,1,1,4,32,4,1,3,0.11607999999999999
64,112,112,3,7,1,1,4,32,16,1,3,0.15803499999999998
64,112,112,3,7,2,1,1,32,4,2,3,0.25322
64,112,112,3,7,2,2,2,32,14,1,3,0.219585
64,112,112,3,7,1,1,4,32,1,1,3,0.128
64,112,112,3,7,1,1,1,32,8,1,1,0.20913500000000002
64,112,112,3,7,1,2,8,32,1,1,1,0.047825
64,112,112,3,7,1,1,8,32,1,1,1,0.05376
64,112,112,3,7,1,2,8,32,7,1,3,0.078
64,112,112,3,7,1,1,7,32,14,1,3,0.11622
64,112,112,3,7,1,2,4,32,1,2,1,0.05011
64,112,112,3,7,1,2,7,32,4,1,1,0.04976
64,112,112,3,7,1,1,2,32,1,4,1,0.101165
64,112,112,3,7,2,4,4,32,1,1,1,0.081455
64,112,112,3,7,2,1,7,32,7,1,1,0.08456
64,112,112,3,7,2,2,4,32,4,2,3,0.076625
64,112,112,3,7,1,2,2,32,1,2,1,0.07145499999999999
64,112,112,3,7,1,1,8,32,8,1,1,0.05693
64,112,112,3,7,2,2,2,32,7,2,1,0.09904
64,112,112,3,7,1,1,1,32,14,1,3,0.37363
64,112,112,3,7,2,1,4,32,1,1,1,0.070915
64,112,112,3,7,1,1,7,32,1,1,1,0.057965
64,112,112,3,7,1,1,2,32,1,1,3,0.23254
64,112,112,3,7,2,2,2,32,14,1,1,0.12304
64,112,112,3,7,1,1,1,32,2,2,3,0.261775
64,112,112,3,7,1,2,8,32,2,1,3,0.06739
64,112,112,3,7,1,2,2,32,4,1,3,0.16803
64,112,112,3,7,2,2,4,32,7,1,1,0.073395
64,112,112,3,7,2,1,1,32,1,2,3,0.236145
64,112,112,3,7,1,2,4,32,7,2,3,0.10522
64,112,112,3,7,1,1,2,32,4,1,1,0.11543999999999999
64,112,112,3,7,1,2,2,32,4,4,1,0.092305
64,112,112,3,7,2,2,8,32,8,1,1,0.07400000000000001
64,112,112,3,7,2,1,4,32,2,1,1,0.06941
64,112,112,3,7,2,4,4,32,4,1,3,0.15194
64,112,112,3,7,2,2,2,32,1,1,3,0.17804999999999999
64,112,112,3,7,1,1,1,32,1,4,1,0.17405
64,112,112,3,7,2,2,2,32,4,1,3,0.15821
64,112,112,3,7,2,2,4,32,1,2,3,0.072755
64,112,112,3,7,2,1,1,32,4,4,1,0.153935
64,112,112,3,7,1,1,1,32,4,8,3,0.3551
64,112,112,3,7,2,1,1,32,2,4,3,0.233585
64,112,112,3,7,1,1,4,32,4,1,1,0.074195
64,112,112,3,7,1,1,4,32,14,1,1,0.109005
64,112,112,3,7,1,2,2,32,1,4,1,0.06819
64,112,112,3,7,1,2,8,32,4,1,1,0.046704999999999997
64,112,112,3,7,1,2,4,32,4,1,3,0.106895
64,112,112,3,7,1,1,1,32,7,2,1,0.20986
64,112,112,3,7,1,1,8,32,2,1,1,0.05256
64,112,112,3,7,1,1,1,32,4,7,3,0.37005
64,112,112,3,7,1,2,7,32,7,1,3,0.08506
64,112,112,3,7,1,2,4,32,1,1,1,0.061695
64,112,112,3,7,1,1,1,32,7,2,3,0.34109
64,112,112,3,7,2,4,4,32,4,1,1,0.08168
64,112,112,3,7,2,4,4,32,1,2,3,0.09762
64,112,112,3,7,1,1,1,32,1,1,3,0.43469
64,112,112,3,7,2,2,4,32,2,1,1,0.061935000000000004
64,112,112,3,7,1,1,2,32,4,2,1,0.11683
64,112,112,3,7,2,1,2,32,7,1,1,0.10536000000000001
64,112,112,3,7,2,1,1,32,8,4,1,0.1953
64,112,112,3,7,1,1,1,32,1,2,3,0.25739
64,112,112,3,7,2,1,4,32,4,1,3,0.12074
64,112,112,3,7,1,2,2,32,1,1,1,0.098355
64,112,112,3,7,2,2,2,32,1,1,1,0.090445
64,112,112,3,7,2,1,2,32,7,4,3,0.181005
64,112,112,3,7,1,4,4,32,1,1,1,0.064305
64,112,112,3,7,1,4,4,32,1,2,1,0.047170000000000004
64,112,112,3,7,1,1,2,32,7,2,3,0.18234
64,112,112,3,7,1,1,1,32,4,4,1,0.18646
64,112,112,3,7,1,1,4,32,8,1,1,0.08506
64,112,112,3,7,2,1,4,32,2,2,1,0.06740499999999999
64,112,112,3,7,1,4,4,32,4,2,1,0.04931
64,112,112,3,7,2,2,2,32,1,4,3,0.09712
64,112,112,3,7,2,2,7,32,7,1,3,0.12782500000000002
64,112,112,3,7,1,2,7,32,8,1,3,0.07734
64,112,112,3,7,2,1,7,32,4,1,1,0.05928
64,112,112,3,7,1,4,4,32,2,2,3,0.06762
64,112,112,3,7,2,1,1,32,4,7,1,0.20177499999999998
64,112,112,3,7,2,1,7,32,8,1,3,0.13382
64,112,112,3,7,1,2,4,32,8,1,3,0.112785
64,112,112,3,7,1,1,1,32,8,1,3,0.33059
64,112,112,3,7,1,2,7,32,2,1,1,0.049645
64,112,112,3,7,1,1,8,32,2,1,3,0.07664
64,112,112,3,7,1,4,4,32,4,1,3,0.11540500000000001
64,112,112,3,7,2,1,1,32,1,7,3,0.23795
64,112,112,3,7,1,2,2,32,1,4,3,0.10538
64,112,112,3,7,2,1,2,32,2,4,3,0.15434
64,112,112,3,7,1,2,4,32,7,2,1,0.07837
