K,H,W,C,R,TK,TH,TW,BK,BH,BW,CMult,Time
512,7,7,256,3,4,1,1,32,7,1,8,0.133585
512,7,7,256,3,16,1,1,32,7,1,32,0.33055999999999996
512,7,7,256,3,4,1,1,32,7,1,16,0.13802999999999999
512,7,7,256,3,16,1,7,32,1,1,2,0.5172
512,7,7,256,3,2,1,1,32,7,1,32,0.17517
512,7,7,256,3,4,1,7,32,7,1,16,0.04954
512,7,7,256,3,2,1,1,32,1,7,32,0.13635
512,7,7,256,3,1,1,7,32,7,1,4,0.072285
512,7,7,256,3,8,1,7,32,1,1,8,0.10896
512,7,7,256,3,8,1,7,32,1,1,32,0.06845
512,7,7,256,3,16,1,1,32,1,7,32,0.29557
512,7,7,256,3,8,1,7,32,1,1,2,0.32413
512,7,7,256,3,4,1,1,32,1,1,16,0.23307
512,7,7,256,3,4,1,7,32,7,1,2,0.233875
512,7,7,256,3,1,1,1,32,7,1,8,0.167825
512,7,7,256,3,1,1,1,32,1,7,4,0.137855
512,7,7,256,3,1,1,1,32,7,1,32,0.21738
512,7,7,256,3,2,1,7,32,1,1,8,0.053185
512,7,7,256,3,1,1,1,32,1,1,4,0.22683
512,7,7,256,3,1,1,7,32,1,1,4,0.0665
512,7,7,256,3,2,1,7,32,7,1,32,0.043215
512,7,7,256,3,16,1,1,32,7,1,2,0.942915
512,7,7,256,3,2,1,1,32,1,1,16,0.23616
512,7,7,256,3,8,1,1,32,1,1,32,0.30876499999999996
512,7,7,256,3,2,1,7,32,7,1,4,0.092365
512,7,7,256,3,16,1,1,32,1,7,4,0.55701
512,7,7,256,3,8,1,1,32,1,1,1,0.639615
512,7,7,256,3,16,1,1,32,1,1,32,0.406355
512,7,7,256,3,8,1,7,32,7,1,2,0.360915
512,7,7,256,3,1,1,1,32,7,1,16,0.17808
512,7,7,256,3,4,1,1,32,1,1,4,0.176125
512,7,7,256,3,2,1,7,32,7,1,1,0.3287
512,7,7,256,3,4,1,1,32,1,7,16,0.116895
512,7,7,256,3,8,1,1,32,7,1,32,0.187855
512,7,7,256,3,8,1,1,32,1,7,8,0.13752
512,7,7,256,3,8,1,1,32,7,1,8,0.14501
512,7,7,256,3,16,1,7,32,7,1,4,0.3428
512,7,7,256,3,1,1,7,32,7,1,32,0.050195000000000004
512,7,7,256,3,2,1,1,32,7,1,2,0.174765
512,7,7,256,3,4,1,1,32,7,1,2,0.223155
512,7,7,256,3,16,1,7,32,7,1,2,0.599565
512,7,7,256,3,1,1,7,32,1,1,2,0.11871999999999999
512,7,7,256,3,2,1,7,32,1,1,1,0.26753499999999997
512,7,7,256,3,8,1,1,32,7,1,2,0.35712
512,7,7,256,3,16,1,1,32,1,7,16,0.28544
512,7,7,256,3,16,1,7,32,1,1,32,0.10198
512,7,7,256,3,4,1,7,32,1,1,32,0.05309
512,7,7,256,3,2,1,7,32,1,1,2,0.14456
512,7,7,256,3,2,1,7,32,1,1,4,0.08463999999999999
512,7,7,256,3,1,1,7,32,1,1,8,0.050159999999999996
512,7,7,256,3,4,1,1,32,1,7,8,0.114065
512,7,7,256,3,8,1,1,32,1,1,8,0.19542500000000002
512,7,7,256,3,16,1,1,32,1,7,8,0.367665
512,7,7,256,3,4,1,7,32,7,1,4,0.12771
512,7,7,256,3,1,1,1,32,7,1,4,0.1759
512,7,7,256,3,2,1,1,32,1,1,32,0.27144
512,7,7,256,3,2,1,7,32,7,1,2,0.17102499999999998
512,7,7,256,3,1,1,1,32,1,1,32,0.305775
512,7,7,256,3,8,1,7,32,1,1,4,0.17971
512,7,7,256,3,1,1,1,32,1,7,8,0.13137500000000002
512,7,7,256,3,16,1,1,32,1,1,1,1.567805
512,7,7,256,3,1,1,1,32,1,7,32,0.16720000000000002
512,7,7,256,3,2,1,1,32,1,7,4,0.11584
512,7,7,256,3,2,1,1,32,7,1,4,0.13710499999999998
512,7,7,256,3,8,1,1,32,1,1,2,0.372545
512,7,7,256,3,1,1,1,32,1,1,1,0.24941
512,7,7,256,3,4,1,7,32,7,1,1,0.44794
512,7,7,256,3,2,1,1,32,1,1,2,0.19144
512,7,7,256,3,16,1,7,32,1,1,8,0.17805
512,7,7,256,3,8,1,7,32,7,1,8,0.1193
512,7,7,256,3,8,1,1,32,1,1,16,0.274065
512,7,7,256,3,8,1,1,32,7,1,1,0.66816
512,7,7,256,3,2,1,1,32,1,1,8,0.21176
512,7,7,256,3,8,1,1,32,1,7,1,0.65816
512,7,7,256,3,16,1,7,32,1,1,4,0.290895
512,7,7,256,3,1,1,7,32,1,1,1,0.215725
