K,H,W,C,R,TK,TH,TW,BK,BH,BW,CMult,Time
128,27,27,64,3,1,3,3,32,3,3,32,0.06656
128,27,27,64,3,1,3,27,32,1,1,2,0.11366
128,27,27,64,3,4,3,9,32,3,3,32,0.08294
128,27,27,64,3,1,1,3,32,3,9,8,0.05427
128,27,27,64,3,4,1,9,32,1,1,4,0.11264
128,27,27,64,3,4,1,27,32,3,1,4,0.08192
128,27,27,64,3,2,3,9,32,1,1,32,0.07168
128,27,27,64,3,2,1,3,32,9,3,4,0.0512
128,27,27,64,3,4,1,3,32,9,1,16,0.099315
128,27,27,64,3,2,3,3,32,1,3,1,0.128
128,27,27,64,3,4,3,9,32,1,3,16,0.0471
128,27,27,64,3,4,3,3,32,1,3,2,0.12186
128,27,27,64,3,1,1,9,32,1,3,32,0.04198
128,27,27,64,3,2,1,27,32,3,1,8,0.03277
128,27,27,64,3,1,3,9,32,1,3,8,0.02765
128,27,27,64,3,4,1,1,32,9,1,1,0.14029
128,27,27,64,3,2,1,3,32,1,3,8,0.04915
128,27,27,64,3,1,1,3,32,9,1,4,0.05632
128,27,27,64,3,2,1,9,32,3,1,1,0.09421
128,27,27,64,3,4,1,3,32,9,3,2,0.13926
128,27,27,64,3,4,1,9,32,9,3,16,0.05427
128,27,27,64,3,1,1,3,32,1,3,2,0.0471
128,27,27,64,3,4,3,3,32,3,3,4,0.08856
128,27,27,64,3,4,1,9,32,9,3,32,0.0768
128,27,27,64,3,2,1,3,32,3,9,32,0.08806
128,27,27,64,3,2,1,9,32,1,1,1,0.09421
128,27,27,64,3,2,1,1,32,3,3,16,0.11878
128,27,27,64,3,2,3,3,32,9,1,1,0.17203
128,27,27,64,3,1,1,3,32,9,1,2,0.05632
128,27,27,64,3,4,1,9,32,9,3,2,0.233965
128,27,27,64,3,2,1,1,32,9,1,32,0.32973
128,27,27,64,3,4,1,3,32,1,1,4,0.07475
128,27,27,64,3,4,1,3,32,3,3,1,0.18227
128,27,27,64,3,2,1,1,32,1,3,8,0.08294
128,27,27,64,3,2,3,9,32,3,1,8,0.04915
128,27,27,64,3,4,1,1,32,1,3,2,0.0768
128,27,27,64,3,2,3,3,32,3,3,16,0.064495
128,27,27,64,3,2,1,1,32,1,9,4,0.07066
128,27,27,64,3,4,1,1,32,9,3,4,0.09114
128,27,27,64,3,2,3,3,32,9,3,32,0.08192
128,27,27,64,3,1,1,3,32,3,9,16,0.06758
128,27,27,64,3,1,1,9,32,1,3,1,0.08704
128,27,27,64,3,1,9,9,32,3,1,2,0.13926
128,27,27,64,3,4,1,3,32,3,9,1,0.24576
128,27,27,64,3,4,1,9,32,1,1,16,0.0512
128,27,27,64,3,1,1,27,32,1,1,8,0.02662
128,27,27,64,3,1,1,3,32,1,9,4,0.043505
128,27,27,64,3,1,1,1,32,9,1,4,0.10547
128,27,27,64,3,1,3,27,32,3,1,16,0.04608
128,27,27,64,3,4,1,1,32,1,1,16,0.19661
128,27,27,64,3,2,1,3,32,1,9,8,0.04506
128,27,27,64,3,4,3,3,32,1,9,4,0.083475
128,27,27,64,3,4,1,1,32,1,3,1,0.11162
128,27,27,64,3,2,1,9,32,3,1,32,0.0553
128,27,27,64,3,2,1,27,32,9,1,2,0.12698
128,27,27,64,3,2,1,3,32,9,1,4,0.05325
128,27,27,64,3,4,1,3,32,1,9,32,0.09728
128,27,27,64,3,2,1,9,32,3,1,2,0.05683
128,27,27,64,3,4,1,9,32,9,1,16,0.05222
128,27,27,64,3,4,1,3,32,9,1,4,0.07987
128,27,27,64,3,4,3,3,32,1,9,32,0.105455
128,27,27,64,3,2,3,9,32,3,1,16,0.04813
128,27,27,64,3,1,3,3,32,1,9,16,0.03789
128,27,27,64,3,4,1,1,32,3,3,2,0.08397
128,27,27,64,3,4,3,3,32,3,9,1,0.46438
128,27,27,64,3,2,3,3,32,3,3,4,0.05424
128,27,27,64,3,2,1,3,32,3,1,1,0.099825
128,27,27,64,3,2,3,3,32,9,3,16,0.08294
128,27,27,64,3,4,1,27,32,1,1,16,0.04096
128,27,27,64,3,1,1,3,32,3,3,2,0.0471
128,27,27,64,3,4,1,9,32,9,1,2,0.21094
128,27,27,64,3,4,1,1,32,9,3,32,0.22835
128,27,27,64,3,1,3,27,32,3,1,8,0.04096
128,27,27,64,3,2,1,3,32,9,1,16,0.09216
128,27,27,64,3,1,1,3,32,9,3,32,0.10035
128,27,27,64,3,1,3,3,32,9,1,2,0.06144
128,27,27,64,3,1,1,9,32,1,3,2,0.05018
128,27,27,64,3,4,1,9,32,3,3,16,0.04813
128,27,27,64,3,4,3,9,32,1,3,4,0.0983
128,27,27,64,3,1,1,3,32,3,1,1,0.07987
128,27,27,64,3,1,1,3,32,1,1,2,0.05734
128,27,27,64,3,2,3,3,32,9,1,2,0.10138
128,27,27,64,3,2,1,3,32,3,1,16,0.08704
128,27,27,64,3,4,3,3,32,9,3,16,0.08192
128,27,27,64,3,1,3,3,32,3,1,2,0.05325
128,27,27,64,3,4,1,27,32,1,1,8,0.05222
128,27,27,64,3,1,3,9,32,3,3,32,0.037875
128,27,27,64,3,1,9,9,32,1,1,16,0.04915
128,27,27,64,3,2,1,1,32,3,9,4,0.0809
128,27,27,64,3,1,1,3,32,1,1,1,0.0768
128,27,27,64,3,1,1,1,32,1,1,4,0.128
128,27,27,64,3,4,1,1,32,3,9,8,0.092655
128,27,27,64,3,4,1,9,32,1,3,32,0.06554
128,27,27,64,3,2,1,1,32,1,3,1,0.0809
128,27,27,64,3,4,1,3,32,9,3,8,0.06246
128,27,27,64,3,1,3,27,32,3,1,2,0.11264
128,27,27,64,3,2,1,3,32,1,3,32,0.07885
128,27,27,64,3,2,3,9,32,1,3,1,0.139795
128,27,27,64,3,1,3,3,32,9,3,32,0.07885
128,27,27,64,3,2,1,3,32,9,3,32,0.0983
128,27,27,64,3,2,1,1,32,9,1,4,0.09626
128,27,27,64,3,2,1,9,32,3,3,16,0.03683
128,27,27,64,3,4,1,3,32,3,1,4,0.07475
128,27,27,64,3,1,3,3,32,9,1,1,0.10342
