K,H,W,C,R,TK,TH,TW,BK,BH,BW,CMult,Time
512,7,7,512,3,8,1,1,32,7,1,1,2.34598
512,7,7,512,3,2,1,1,32,1,1,32,0.28774500000000003
512,7,7,512,3,16,1,7,32,7,1,16,1.523695
512,7,7,512,3,4,1,1,32,1,1,2,0.62054
512,7,7,512,3,1,1,7,32,7,1,8,0.21504
512,7,7,512,3,2,1,1,32,7,1,32,0.19558
512,7,7,512,3,2,1,7,32,7,1,8,0.14234
512,7,7,512,3,4,1,1,32,1,7,16,0.13005
512,7,7,512,3,4,1,1,32,1,1,16,0.22938
512,7,7,512,3,8,1,7,32,7,1,1,10.489854999999999
512,7,7,512,3,1,7,7,32,1,1,8,0.159725
512,7,7,512,3,16,1,1,32,1,1,2,3.1236800000000002
512,7,7,512,3,4,1,1,32,1,7,32,0.167425
512,7,7,512,3,1,1,1,32,7,1,4,0.2007
512,7,7,512,3,2,1,7,32,7,1,16,0.09523
512,7,7,512,3,8,1,1,32,1,7,32,0.14438
512,7,7,512,3,1,1,1,32,7,1,16,0.21606
512,7,7,512,3,1,1,1,32,1,1,8,0.313875
512,7,7,512,3,16,1,7,32,1,1,8,2.83341
512,7,7,512,3,2,7,7,32,1,1,2,1.153535
512,7,7,512,3,1,1,1,32,7,1,2,0.353265
512,7,7,512,3,1,1,7,32,7,1,1,1.45613
512,7,7,512,3,4,1,1,32,1,7,4,0.346095
512,7,7,512,3,4,1,1,32,7,1,1,1.3639649999999999
512,7,7,512,3,4,1,7,32,1,1,32,0.09216
512,7,7,512,3,2,1,1,32,1,1,1,0.76544
512,7,7,512,3,8,1,1,32,7,1,16,0.20992
512,7,7,512,3,1,1,7,32,1,1,32,0.14438
512,7,7,512,3,1,1,1,32,7,1,32,0.24678
512,7,7,512,3,8,1,7,32,1,1,8,1.36806
512,7,7,512,3,16,1,7,32,1,1,32,0.77928
512,7,7,512,3,4,1,7,32,7,1,2,0.75264
512,7,7,512,3,1,1,7,32,1,1,2,0.73318
512,7,7,512,3,16,1,1,32,1,7,1,6.060015
512,7,7,512,3,16,1,7,32,7,1,1,20.647425
512,7,7,512,3,4,1,1,32,1,1,8,0.19866
512,7,7,512,3,2,1,1,32,1,7,1,0.7408600000000001
512,7,7,512,3,1,1,1,32,1,7,2,0.29235
512,7,7,512,3,16,1,7,32,1,1,4,5.59565
512,7,7,512,3,1,1,1,32,1,1,4,0.35942
512,7,7,512,3,2,1,7,32,1,1,2,0.423425
512,7,7,512,3,8,1,1,32,1,1,16,0.21299
512,7,7,512,3,2,1,7,32,7,1,4,0.2601
512,7,7,512,3,16,1,7,32,1,1,2,11.14522
512,7,7,512,3,8,1,1,32,1,1,4,0.626675
512,7,7,512,3,2,7,7,32,1,1,16,0.19251
512,7,7,512,3,8,1,7,32,1,1,32,0.39526
512,7,7,512,3,2,1,7,32,1,1,4,0.2304
512,7,7,512,3,4,1,1,32,1,1,4,0.330765
512,7,7,512,3,1,1,1,32,1,7,16,0.17101
512,7,7,512,3,1,1,1,32,1,1,2,0.31128
512,7,7,512,3,16,1,7,32,1,1,1,21.15738
512,7,7,512,3,8,1,1,32,1,1,2,1.24826
512,7,7,512,3,2,1,7,32,7,1,32,0.07578
512,7,7,512,3,1,1,1,32,7,1,1,0.70912
512,7,7,512,3,2,1,1,32,1,7,16,0.1495
512,7,7,512,3,1,1,7,32,7,1,16,0.13107
512,7,7,512,3,1,1,7,32,1,1,16,0.12595
512,7,7,512,3,1,1,1,32,1,1,32,0.36147
512,7,7,512,3,4,1,1,32,7,1,8,0.207345
512,7,7,512,3,1,1,7,32,1,1,4,0.40347500000000003
512,7,7,512,3,1,7,7,32,1,1,16,0.10035
512,7,7,512,3,1,7,7,32,1,1,4,0.287245
512,7,7,512,3,4,1,1,32,1,7,1,1.3056
512,7,7,512,3,16,1,1,32,1,7,4,1.57696
512,7,7,512,3,4,1,1,32,7,1,2,0.66458
