K,H,W,C,R,TK,TH,TW,BK,BH,BW,CMult,Time
128,28,28,128,3,4,1,14,32,7,2,8,0.08826
128,28,28,128,3,1,1,1,32,2,14,4,0.31088
128,28,28,128,3,2,2,4,32,7,1,32,0.153585
128,28,28,128,3,1,1,7,32,4,4,2,0.10070499999999999
128,28,28,128,3,1,2,2,32,1,1,8,0.17139
128,28,28,128,3,4,2,14,32,1,2,2,0.17910500000000001
128,28,28,128,3,2,1,4,32,4,1,4,0.10829
128,28,28,128,3,4,4,4,32,1,7,1,0.428975
128,28,28,128,3,1,1,4,32,4,7,1,0.213105
128,28,28,128,3,2,1,2,32,7,2,4,0.14317
128,28,28,128,3,4,2,7,32,14,1,16,0.082355
128,28,28,128,3,1,1,4,32,1,1,8,0.161395
128,28,28,128,3,4,1,1,32,4,4,32,0.38509
128,28,28,128,3,4,1,2,32,1,2,2,0.190605
128,28,28,128,3,4,2,2,32,1,2,1,0.40912
128,28,28,128,3,1,1,2,32,1,14,8,0.15929500000000002
128,28,28,128,3,1,2,4,32,1,1,8,0.1068
128,28,28,128,3,1,1,4,32,2,7,2,0.11307
128,28,28,128,3,1,4,7,32,7,1,16,0.07669000000000001
128,28,28,128,3,1,4,4,32,1,7,2,0.078765
128,28,28,128,3,2,1,1,32,4,4,8,0.22227
128,28,28,128,3,4,1,4,32,7,1,2,0.14851
128,28,28,128,3,4,1,1,32,2,1,16,0.33230499999999996
128,28,28,128,3,1,2,7,32,1,2,1,0.129725
128,28,28,128,3,1,1,7,32,14,1,32,0.12669
128,28,28,128,3,1,1,7,32,2,4,8,0.07837
128,28,28,128,3,4,1,2,32,1,14,16,0.18909
128,28,28,128,3,1,1,2,32,1,1,1,0.26029
128,28,28,128,3,2,1,2,32,7,1,1,0.18365
128,28,28,128,3,4,1,1,32,1,14,16,0.27152
128,28,28,128,3,4,1,2,32,1,1,8,0.22666
128,28,28,128,3,1,1,2,32,2,2,32,0.23312
128,28,28,128,3,2,2,7,32,2,4,4,0.06456
128,28,28,128,3,1,1,1,32,14,1,8,0.358495
128,28,28,128,3,1,1,2,32,7,2,1,0.162945
128,28,28,128,3,2,7,7,32,2,2,16,0.067985
128,28,28,128,3,4,2,7,32,7,1,4,0.17725
128,28,28,128,3,1,1,4,32,2,7,16,0.125295
128,28,28,128,3,1,2,2,32,1,14,4,0.10614499999999999
128,28,28,128,3,4,2,2,32,7,1,2,0.25046
128,28,28,128,3,2,2,2,32,7,2,4,0.140065
128,28,28,128,3,2,2,4,32,2,7,8,0.064045
128,28,28,128,3,2,2,2,32,7,1,32,0.26544
128,28,28,128,3,2,2,2,32,2,2,4,0.126095
128,28,28,128,3,1,2,14,32,2,1,8,0.05112
128,28,28,128,3,2,1,7,32,14,2,16,0.076015
128,28,28,128,3,2,2,14,32,1,1,16,0.055025000000000004
128,28,28,128,3,1,7,7,32,1,1,8,0.06605
128,28,28,128,3,4,2,2,32,14,2,2,0.4
128,28,28,128,3,4,1,28,32,7,1,2,0.27216
128,28,28,128,3,1,1,7,32,1,1,16,0.11505499999999999
128,28,28,128,3,1,2,4,32,14,1,4,0.10600000000000001
128,28,28,128,3,2,1,4,32,1,1,8,0.14782499999999998
128,28,28,128,3,2,1,1,32,4,1,32,0.460145
128,28,28,128,3,2,2,14,32,2,2,1,0.21318
128,28,28,128,3,1,1,7,32,1,2,16,0.08749
128,28,28,128,3,4,2,2,32,2,1,1,0.441025
128,28,28,128,3,2,2,7,32,2,4,16,0.05862
128,28,28,128,3,2,4,4,32,1,1,2,0.16107500000000002
128,28,28,128,3,2,1,4,32,2,1,32,0.1832
128,28,28,128,3,4,2,7,32,1,1,4,0.16744
128,28,28,128,3,1,2,2,32,1,2,1,0.14563500000000001
128,28,28,128,3,4,1,2,32,14,2,1,0.48755000000000004
128,28,28,128,3,1,4,4,32,1,1,2,0.10518
128,28,28,128,3,1,2,28,32,1,1,32,0.05926
128,28,28,128,3,4,1,14,32,2,2,32,0.067695
128,28,28,128,3,2,1,7,32,4,2,1,0.16672
128,28,28,128,3,2,1,1,32,4,2,32,0.38563000000000003
128,28,28,128,3,1,1,7,32,7,4,1,0.27808
128,28,28,128,3,4,2,14,32,1,1,1,0.32422
128,28,28,128,3,2,2,28,32,1,1,16,0.0528
128,28,28,128,3,4,2,7,32,2,1,2,0.31274
128,28,28,128,3,4,1,1,32,2,1,8,0.2605
128,28,28,128,3,2,4,7,32,1,4,1,0.23992
128,28,28,128,3,2,1,7,32,7,1,2,0.0961
128,28,28,128,3,2,1,14,32,14,1,2,0.16846499999999998
128,28,28,128,3,4,1,14,32,1,1,8,0.06262
128,28,28,128,3,2,1,1,32,4,4,1,0.25112
128,28,28,128,3,1,7,7,32,2,2,32,0.08832
128,28,28,128,3,4,2,14,32,2,1,16,0.06683
128,28,28,128,3,2,2,14,32,1,2,32,0.051775
128,28,28,128,3,4,2,14,32,7,1,4,0.157005
128,28,28,128,3,4,1,7,32,7,1,4,0.090125
128,28,28,128,3,4,1,1,32,4,7,32,0.47413
128,28,28,128,3,4,2,2,32,7,2,8,0.23437
128,28,28,128,3,4,1,1,32,14,2,2,0.21901
128,28,28,128,3,4,2,4,32,1,1,16,0.2023
128,28,28,128,3,2,1,1,32,4,1,8,0.24997000000000003
128,28,28,128,3,4,1,2,32,4,2,4,0.14685
128,28,28,128,3,1,1,2,32,14,2,2,0.17552
128,28,28,128,3,1,2,4,32,7,1,8,0.10169500000000001
128,28,28,128,3,2,1,4,32,4,7,1,0.33712
128,28,28,128,3,2,2,7,32,7,2,8,0.06168
128,28,28,128,3,1,2,2,32,7,2,16,0.14414500000000002
128,28,28,128,3,1,1,2,32,2,1,16,0.208785
128,28,28,128,3,4,1,2,32,14,2,2,0.259375
128,28,28,128,3,1,2,2,32,1,2,4,0.12067
128,28,28,128,3,1,1,1,32,4,4,32,0.45914
128,28,28,128,3,2,1,1,32,2,2,8,0.21518500000000002
128,28,28,128,3,2,4,14,32,1,1,4,0.110195
128,28,28,128,3,1,4,14,32,1,1,1,0.22936
128,28,28,128,3,1,2,2,32,2,2,8,0.11208000000000001
