K,H,W,C,R,TH,TW,TK,WH,WW,WK,BH,BW,BK,Time
256,14,14,256,3,1,7,4,1,2,16,1,1,2,0.35123
256,14,14,256,3,1,14,2,1,1,32,1,1,1,0.39526
256,14,14,256,3,1,7,4,1,1,32,2,2,1,0.32768
256,14,14,256,3,1,1,2,1,1,32,1,14,2,0.26829
256,14,14,256,3,1,7,2,1,2,16,2,1,1,0.26317
256,14,14,256,3,1,2,2,1,1,32,2,7,2,0.25651
256,14,14,256,3,1,1,2,1,2,16,2,7,2,0.24883
256,14,14,256,3,1,7,4,1,1,32,7,2,1,0.52019
256,14,14,256,3,1,1,8,1,2,16,1,7,1,0.37171
256,14,14,256,3,1,2,4,1,1,32,2,7,1,0.26214
256,14,14,256,3,1,7,2,1,2,16,1,1,4,0.28672
256,14,14,256,3,1,7,8,1,2,16,14,1,1,0.96461
256,14,14,256,3,1,7,2,1,1,32,1,2,2,0.28774
256,14,14,256,3,1,14,2,1,1,32,2,1,1,0.32104
256,14,14,256,3,1,1,4,1,2,16,2,7,1,0.21194
256,14,14,256,3,1,1,2,1,2,16,2,7,1,0.17101
256,14,14,256,3,1,2,2,1,1,32,1,7,2,0.19661
256,14,14,256,3,1,2,2,1,1,32,1,7,1,0.23246499999999998
256,14,14,256,3,1,14,4,1,1,32,7,1,1,0.5591
256,14,14,256,3,1,7,4,1,2,16,14,1,1,0.50483
256,14,14,256,3,1,7,2,1,2,16,7,1,1,0.2601
256,14,14,256,3,1,14,2,1,1,32,2,1,2,0.32256
256,14,14,256,3,1,7,2,1,2,16,14,1,1,0.2857
256,14,14,256,3,1,1,8,1,2,16,2,7,1,0.52429
256,14,14,256,3,1,1,4,1,2,16,1,7,2,0.2263
256,14,14,256,3,1,1,2,1,2,16,1,7,1,0.22422
256,14,14,256,3,1,7,2,1,2,16,1,1,1,0.32666
256,14,14,256,3,1,7,2,1,1,32,2,2,1,0.26112
256,14,14,256,3,1,7,2,1,2,16,2,1,4,0.27853
256,14,14,256,3,1,2,4,1,1,32,1,7,1,0.26829
256,14,14,256,3,1,14,4,1,1,32,14,1,1,0.9395199999999999
256,14,14,256,3,1,2,2,1,1,32,2,7,1,0.18227
256,14,14,256,3,1,14,2,1,1,32,1,1,2,0.34304
256,14,14,256,3,1,1,2,1,1,32,2,14,1,0.24678
256,14,14,256,3,1,7,2,1,1,32,1,2,1,0.27443
256,14,14,256,3,1,1,2,1,1,32,1,14,1,0.19251
256,14,14,256,3,1,1,4,1,1,32,1,14,1,0.2263
256,14,14,256,3,1,7,2,1,2,16,7,1,2,0.29594
256,14,14,256,3,1,7,2,1,2,16,1,1,2,0.27648
256,14,14,256,3,1,7,2,1,1,32,2,2,2,0.27853
256,14,14,256,3,1,7,8,1,2,16,2,1,1,0.44646
256,14,14,256,3,1,7,4,1,2,16,2,1,2,0.32666
256,14,14,256,3,1,14,4,1,1,32,1,1,1,0.56115
256,14,14,256,3,1,7,2,1,2,16,2,1,2,0.26112
256,14,14,256,3,1,1,2,1,2,16,1,7,2,0.19251
256,14,14,256,3,1,7,2,1,2,16,7,1,4,0.52429
256,14,14,256,3,1,7,2,1,1,32,7,2,2,0.52429
256,14,14,256,3,1,14,2,1,1,32,7,1,2,0.50586
256,14,14,256,3,1,7,2,1,1,32,7,2,1,0.29389
256,14,14,256,3,1,7,4,1,2,16,2,1,1,0.32461
256,14,14,256,3,1,7,8,1,2,16,1,1,1,0.53453
256,14,14,256,3,1,7,4,1,2,16,7,1,2,0.52019
256,14,14,256,3,1,1,2,1,2,16,1,7,4,0.26829
256,14,14,256,3,1,7,2,1,2,16,14,1,2,0.51302
256,14,14,256,3,1,7,4,1,2,16,1,1,1,0.39731
256,14,14,256,3,1,7,4,1,2,16,7,1,1,0.32973
256,14,14,256,3,1,14,2,1,1,32,14,1,1,0.49664
256,14,14,256,3,1,14,2,1,1,32,7,1,1,0.32563
256,14,14,256,3,1,7,8,1,2,16,7,1,1,0.56218
256,14,14,256,3,1,1,4,1,2,16,1,7,1,0.23552
256,14,14,256,3,1,7,4,1,1,32,1,2,1,0.35328
256,14,14,256,3,1,7,2,1,1,32,14,2,1,0.50893
256,14,14,256,3,1,14,4,1,1,32,2,1,1,0.45568
