K,H,W,C,R,TH,TW,TK,WH,WW,WK,BH,BW,BK,Time
64,54,54,32,3,1,9,2,1,2,16,3,3,1,0.04707
64,54,54,32,3,1,27,2,1,2,16,1,1,1,0.06547
64,54,54,32,3,1,27,2,1,2,16,6,1,1,0.07885
64,54,54,32,3,1,27,2,1,2,16,9,1,1,0.10851
64,54,54,32,3,1,9,2,1,2,16,2,3,1,0.03994
64,54,54,32,3,1,9,2,1,2,16,6,3,1,0.06042
64,54,54,32,3,1,3,2,1,2,16,1,9,1,0.03376
64,54,54,32,3,1,27,2,1,2,16,3,1,1,0.05834
64,54,54,32,3,1,27,2,1,2,16,2,1,1,0.05834
64,54,54,32,3,1,3,2,1,2,16,2,9,1,0.03376
64,54,54,32,3,1,3,2,1,2,16,3,9,1,0.04605
64,54,54,32,3,1,9,2,1,2,16,1,3,1,0.04195
64,54,54,32,3,1,1,2,1,2,16,1,27,1,0.06861
64,54,54,32,3,1,9,2,1,2,16,9,3,1,0.08397
