K,H,W,C,R,TH,TW,TK,WH,WW,WK,BH,BW,BK,Time
128,28,28,128,3,1,7,4,1,4,8,4,1,1,0.15974
128,28,28,128,3,1,7,2,1,4,8,2,1,1,0.13824
128,28,28,128,3,1,14,2,1,2,16,2,1,1,0.15872
128,28,28,128,3,1,2,4,1,2,16,2,7,1,0.1239
128,28,28,128,3,1,14,2,1,1,32,2,2,1,0.16179
128,28,28,128,3,1,7,2,1,4,8,7,1,1,0.14336
128,28,28,128,3,1,7,2,1,1,32,4,4,1,0.15872
128,28,28,128,3,1,7,2,1,2,16,4,2,1,0.13107
128,28,28,128,3,1,2,2,1,2,16,1,7,1,0.11776
128,28,28,128,3,1,7,4,1,4,8,14,1,1,0.25498
128,28,28,128,3,1,7,4,1,4,8,1,1,2,0.16691
128,28,28,128,3,1,1,2,1,4,8,1,7,2,0.10547
128,28,28,128,3,1,7,8,1,4,8,14,1,1,0.48538
128,28,28,128,3,1,7,2,1,4,8,4,1,1,0.13926
128,28,28,128,3,1,14,2,1,1,32,7,2,1,0.25293
128,28,28,128,3,1,7,2,1,2,16,4,2,2,0.15872
128,28,28,128,3,1,14,2,1,1,32,1,2,1,0.16384
128,28,28,128,3,1,1,2,1,2,16,1,14,1,0.10547
128,28,28,128,3,1,1,2,1,4,8,1,7,1,0.1239
128,28,28,128,3,1,7,2,1,4,8,7,1,2,0.14643
128,28,28,128,3,1,7,2,1,4,8,28,1,1,0.25498
128,28,28,128,3,1,14,2,1,2,16,4,1,1,0.15872
128,28,28,128,3,1,28,2,1,1,32,2,1,1,0.21914
128,28,28,128,3,1,28,2,1,1,32,1,1,1,0.256
128,28,28,128,3,1,1,2,1,4,8,2,7,2,0.12698
128,28,28,128,3,1,14,2,1,2,16,7,1,2,0.25293
128,28,28,128,3,1,7,4,1,2,16,7,2,1,0.25395
128,28,28,128,3,1,7,4,1,4,8,7,1,1,0.19046
128,28,28,128,3,1,28,2,1,1,32,7,1,1,0.30208
128,28,28,128,3,1,7,4,1,4,8,2,1,2,0.162285
128,28,28,128,3,1,1,4,1,4,8,1,7,1,0.130545
128,28,28,128,3,1,1,2,1,1,32,1,28,1,0.13312
128,28,28,128,3,1,1,4,1,4,8,2,7,1,0.1065
128,28,28,128,3,1,7,2,1,1,32,1,4,1,0.13667
128,28,28,128,3,1,2,2,1,2,16,4,7,1,0.1321
128,28,28,128,3,1,1,2,1,2,16,2,14,1,0.12595
128,28,28,128,3,1,14,4,1,2,16,14,1,1,0.46899
128,28,28,128,3,1,14,2,1,2,16,14,1,1,0.24986
128,28,28,128,3,1,4,2,1,1,32,4,7,1,0.18432
128,28,28,128,3,1,1,8,1,4,8,1,7,1,0.17101
128,28,28,128,3,1,7,4,1,4,8,4,1,2,0.16998
128,28,28,128,3,1,7,2,1,4,8,7,1,4,0.26317
128,28,28,128,3,1,1,8,1,4,8,2,7,1,0.2601
128,28,28,128,3,1,7,2,1,4,8,1,1,2,0.13517
128,28,28,128,3,1,7,2,1,2,16,1,2,2,0.13619
128,28,28,128,3,1,14,4,1,2,16,2,1,1,0.21709
128,28,28,128,3,1,1,2,1,2,16,1,14,2,0.1321
128,28,28,128,3,1,14,2,1,2,16,7,1,1,0.18944
128,28,28,128,3,1,14,2,1,2,16,4,1,2,0.16794
128,28,28,128,3,1,1,4,1,4,8,1,7,2,0.10854
128,28,28,128,3,1,7,4,1,4,8,7,1,2,0.25395
128,28,28,128,3,1,7,2,1,1,32,2,4,1,0.13312
128,28,28,128,3,1,14,2,1,2,16,1,1,2,0.16484500000000002
128,28,28,128,3,1,2,4,1,2,16,1,7,1,0.12493
128,28,28,128,3,1,14,2,1,1,32,4,2,1,0.16794
128,28,28,128,3,1,14,4,1,2,16,4,1,1,0.21709
128,28,28,128,3,1,7,2,1,4,8,4,1,4,0.15872
128,28,28,128,3,1,7,4,1,2,16,1,2,1,0.16589
128,28,28,128,3,1,28,2,1,1,32,4,1,1,0.21914
128,28,28,128,3,1,2,2,1,1,32,2,14,1,0.13722
128,28,28,128,3,1,7,4,1,4,8,2,1,1,0.16077
128,28,28,128,3,1,2,2,1,2,16,2,7,1,0.09523
128,28,28,128,3,1,2,2,1,2,16,1,7,2,0.09626
128,28,28,128,3,1,7,2,1,4,8,2,1,4,0.13213
128,28,28,128,3,1,7,2,1,4,8,1,1,4,0.13619
128,28,28,128,3,1,2,4,1,2,16,4,7,1,0.2089
128,28,28,128,3,1,7,8,1,4,8,2,1,1,0.21606
128,28,28,128,3,1,4,2,1,1,32,2,7,1,0.11776
128,28,28,128,3,1,2,2,1,2,16,2,7,2,0.13722
128,28,28,128,3,1,7,8,1,4,8,1,1,1,0.25395
128,28,28,128,3,1,7,2,1,2,16,7,2,2,0.26317
128,28,28,128,3,1,7,2,1,4,8,1,1,1,0.16384
128,28,28,128,3,1,7,4,1,4,8,1,1,1,0.18842
128,28,28,128,3,1,7,4,1,2,16,2,2,1,0.16282
128,28,28,128,3,1,7,2,1,4,8,14,1,1,0.15155
128,28,28,128,3,1,2,2,1,1,32,1,14,1,0.09626
128,28,28,128,3,1,1,4,1,2,16,1,14,1,0.10854
128,28,28,128,3,1,7,2,1,2,16,1,2,1,0.135665
128,28,28,128,3,1,7,2,1,4,8,4,1,2,0.13107
128,28,28,128,3,1,14,2,1,2,16,1,1,1,0.18637
128,28,28,128,3,1,7,2,1,1,32,7,4,1,0.26317
128,28,28,128,3,1,7,4,1,2,16,4,2,1,0.16998
128,28,28,128,3,1,14,4,1,2,16,1,1,1,0.2519
128,28,28,128,3,1,7,2,1,4,8,2,1,2,0.13312
128,28,28,128,3,1,7,8,1,4,8,7,1,1,0.3031
128,28,28,128,3,1,1,2,1,4,8,1,7,4,0.13312
128,28,28,128,3,1,7,8,1,4,8,4,1,1,0.21914
128,28,28,128,3,1,14,4,1,2,16,7,1,1,0.29901
128,28,28,128,3,1,7,2,1,2,16,7,2,1,0.1464
128,28,28,128,3,1,1,2,1,4,8,2,7,1,0.10854
128,28,28,128,3,1,4,2,1,1,32,1,7,1,0.12493
128,28,28,128,3,1,7,2,1,2,16,14,2,1,0.26214
128,28,28,128,3,1,7,2,1,2,16,2,2,2,0.133105
128,28,28,128,3,1,14,2,1,2,16,2,1,2,0.1608
128,28,28,128,3,1,7,2,1,2,16,2,2,1,0.13414
128,28,28,128,3,1,1,2,1,4,8,4,7,1,0.13361499999999998
128,28,28,128,3,1,7,2,1,4,8,14,1,2,0.26214
