K,H,W,C,R,TH,TW,TK,WH,WW,WK,BH,BW,BK,Time
128,136,136,64,3,1,2,8,1,4,8,1,17,1,1.06163
128,136,136,64,3,1,34,4,1,4,8,2,1,2,0.47491
128,136,136,64,3,1,34,2,1,4,8,2,1,1,0.37872
128,136,136,64,3,1,34,2,1,4,8,1,1,4,0.373875
128,136,136,64,3,1,17,4,1,4,8,8,2,1,0.311855
128,136,136,64,3,1,34,4,1,4,8,1,1,1,0.73349
128,136,136,64,3,1,17,8,1,8,4,8,1,1,1.69461
128,136,136,64,3,1,34,4,1,4,8,8,1,1,0.48734500000000003
128,136,136,64,3,1,68,2,1,2,16,1,1,2,1.21888
128,136,136,64,3,1,17,2,1,2,16,2,4,2,0.3732
128,136,136,64,3,1,34,2,1,4,8,2,1,2,0.37895999999999996
128,136,136,64,3,1,34,4,1,2,16,2,2,1,0.474255
128,136,136,64,3,1,17,2,1,2,16,4,4,1,0.405775
128,136,136,64,3,1,17,2,1,4,8,2,2,1,0.390285
128,136,136,64,3,1,17,2,1,4,8,4,2,1,0.393665
128,136,136,64,3,1,34,2,1,1,32,2,4,1,0.38824000000000003
128,136,136,64,3,1,34,4,1,4,8,4,1,1,0.4768
128,136,136,64,3,1,17,2,1,2,16,2,4,1,0.38448000000000004
128,136,136,64,3,1,17,8,1,8,4,1,1,2,1.692115
128,136,136,64,3,1,17,2,1,4,8,2,2,4,0.37392000000000003
128,136,136,64,3,1,2,4,1,4,8,1,17,1,0.7092350000000001
128,136,136,64,3,1,68,2,1,2,16,4,1,1,0.434995
128,136,136,64,3,1,17,4,1,8,4,8,1,1,0.32238500000000003
128,136,136,64,3,1,17,2,1,4,8,4,2,2,0.406785
128,136,136,64,3,1,17,2,1,8,4,1,1,4,0.37483
128,136,136,64,3,1,17,2,1,4,8,2,2,2,0.38453
128,136,136,64,3,1,34,2,1,4,8,8,1,1,0.40398500000000004
128,136,136,64,3,1,17,4,1,8,4,2,1,4,0.33152
128,136,136,64,3,1,17,2,1,4,8,1,2,1,0.41530999999999996
128,136,136,64,3,1,68,2,1,1,32,2,2,1,0.4649
128,136,136,64,3,1,17,8,1,4,8,2,2,1,1.69043
128,136,136,64,3,1,4,4,1,2,16,1,17,1,0.431875
128,136,136,64,3,1,34,4,1,2,16,1,2,1,0.6590400000000001
128,136,136,64,3,1,17,4,1,8,4,2,1,2,0.322835
128,136,136,64,3,1,17,2,1,2,16,1,4,2,0.38384
128,136,136,64,3,1,17,2,1,4,8,8,2,1,0.38675000000000004
128,136,136,64,3,1,17,4,1,4,8,2,2,2,0.33168
128,136,136,64,3,1,17,8,1,8,4,2,1,2,1.7033749999999999
128,136,136,64,3,1,17,4,1,8,4,2,1,1,0.39144
128,136,136,64,3,1,17,4,1,8,4,1,1,2,0.38217500000000004
128,136,136,64,3,1,17,8,1,4,8,4,2,1,1.6919499999999998
128,136,136,64,3,1,17,2,1,8,4,2,1,8,0.372595
128,136,136,64,3,1,17,2,1,4,8,1,2,4,0.38353499999999996
128,136,136,64,3,1,1,4,1,8,4,1,17,1,1.39194
