K,H,W,C,R,TH,TW,TK,WH,WW,WK,BH,BW,BK,Time
64,272,272,32,3,1,34,2,1,4,8,1,2,1,0.48469
64,272,272,32,3,1,17,2,1,8,4,4,2,2,0.42968
64,272,272,32,3,1,17,2,1,16,2,1,1,8,0.40364999999999995
64,272,272,32,3,1,17,8,1,8,4,2,2,1,2.523325
64,272,272,32,3,1,34,2,1,8,4,1,1,2,0.485345
64,272,272,32,3,1,1,16,1,16,2,1,17,1,0.635375
64,272,272,32,3,1,17,8,1,16,2,2,1,2,2.519615
64,272,272,32,3,1,17,2,1,16,2,2,1,8,0.448175
64,272,272,32,3,1,17,2,1,16,2,1,1,1,0.680865
64,272,272,32,3,1,17,2,1,2,16,2,8,1,0.447235
64,272,272,32,3,1,17,2,1,16,2,8,1,1,0.5600149999999999
64,272,272,32,3,1,17,8,1,16,2,2,1,1,2.27211
64,272,272,32,3,1,17,8,1,16,2,4,1,1,2.155555
64,272,272,32,3,1,34,2,1,8,4,2,1,2,0.41859
64,272,272,32,3,1,17,8,1,16,2,1,1,2,1.7736
64,272,272,32,3,1,17,2,1,16,2,4,1,2,0.412065
64,272,272,32,3,1,17,2,1,8,4,2,2,4,0.447585
64,272,272,32,3,1,1,8,1,16,2,1,17,1,0.819185
64,272,272,32,3,1,17,2,1,4,8,4,4,1,0.42984
64,272,272,32,3,1,34,2,1,8,4,1,1,4,0.393265
64,272,272,32,3,1,68,2,1,4,8,1,1,2,0.53413
64,272,272,32,3,1,17,2,1,16,2,2,1,4,0.41248
64,272,272,32,3,1,17,2,1,4,8,1,4,1,0.43778
64,272,272,32,3,1,17,2,1,2,16,1,8,1,0.40358499999999997
64,272,272,32,3,1,34,2,1,2,16,2,4,1,0.45087999999999995
64,272,272,32,3,1,17,2,1,4,8,1,4,2,0.404915
64,272,272,32,3,1,17,2,1,8,4,2,2,2,0.41230500000000003
64,272,272,32,3,1,17,2,1,16,2,2,1,2,0.44598499999999996
64,272,272,32,3,1,1,2,1,16,2,1,17,1,1.8755350000000002
64,272,272,32,3,1,34,2,1,8,4,1,1,1,0.6369100000000001
64,272,272,32,3,1,17,4,1,8,4,1,2,2,0.334145
64,272,272,32,3,1,17,4,1,16,2,1,1,2,0.36693
64,272,272,32,3,1,68,2,1,4,8,4,1,1,0.515055
64,272,272,32,3,1,17,2,1,8,4,2,2,1,0.44621
64,272,272,32,3,1,34,2,1,4,8,4,2,1,0.43289500000000003
64,272,272,32,3,1,34,4,1,8,4,1,1,1,0.633185
64,272,272,32,3,1,17,2,1,16,2,4,1,4,0.42949000000000004
64,272,272,32,3,1,17,4,1,16,2,8,1,1,0.430925
64,272,272,32,3,1,2,8,1,8,4,1,17,1,0.64931
64,272,272,32,3,1,17,2,1,16,2,1,1,2,0.465155
64,272,272,32,3,1,17,2,1,16,2,1,1,4,0.43793499999999996
64,272,272,32,3,1,34,4,1,8,4,2,1,1,0.566755
64,272,272,32,3,1,68,2,1,2,16,2,2,1,0.46836999999999995
64,272,272,32,3,1,17,4,1,8,4,4,2,1,0.32948500000000003
64,272,272,32,3,1,34,2,1,8,4,2,1,1,0.509795
64,272,272,32,3,1,68,2,1,4,8,2,1,1,0.59883
64,272,272,32,3,1,17,8,1,16,2,1,1,1,1.5916649999999999
64,272,272,32,3,1,17,8,1,16,2,8,1,1,2.26371
64,272,272,32,3,1,17,2,1,16,2,2,1,1,0.532685
64,272,272,32,3,1,17,8,1,8,4,1,2,1,1.78144
64,272,272,32,3,1,68,2,1,4,8,2,1,2,0.467855
64,272,272,32,3,1,34,4,1,8,4,2,1,2,0.509265
64,272,272,32,3,1,17,4,1,16,2,4,1,1,0.4124
64,272,272,32,3,1,17,2,1,8,4,4,2,1,0.41139000000000003
64,272,272,32,3,1,34,2,1,8,4,4,1,2,0.433425
64,272,272,32,3,1,68,2,1,4,8,1,1,1,0.735535
64,272,272,32,3,1,4,4,1,4,8,1,17,1,0.456595
64,272,272,32,3,1,34,4,1,4,8,2,2,1,0.50955
64,272,272,32,3,1,34,2,1,4,8,2,2,2,0.44967999999999997
64,272,272,32,3,1,17,2,1,8,4,1,2,2,0.43772999999999995
64,272,272,32,3,1,34,2,1,8,4,2,1,4,0.449805
64,272,272,32,3,1,17,4,1,4,8,2,4,1,0.339635
64,272,272,32,3,1,17,2,1,8,4,1,2,1,0.46513499999999997
64,272,272,32,3,1,34,2,1,4,8,2,2,1,0.41834
64,272,272,32,3,1,4,2,1,4,8,1,17,1,0.693825
64,272,272,32,3,1,17,4,1,16,2,4,1,2,0.330145
64,272,272,32,3,1,17,2,1,16,2,4,1,1,0.558605
64,272,272,32,3,1,34,2,1,2,16,1,4,1,0.39331499999999997
64,272,272,32,3,1,68,2,1,2,16,1,2,1,0.534305
64,272,272,32,3,1,34,2,1,8,4,4,1,1,0.468065
64,272,272,32,3,1,17,4,1,16,2,2,1,2,0.343375
64,272,272,32,3,1,8,2,1,2,16,1,17,1,0.46053
64,272,272,32,3,1,17,4,1,16,2,1,1,1,0.5263199999999999
64,272,272,32,3,1,34,4,1,8,4,4,1,1,0.47419500000000003
64,272,272,32,3,1,17,2,1,4,8,2,4,1,0.41224
64,272,272,32,3,1,17,8,1,8,4,4,2,1,1.88592
64,272,272,32,3,1,17,4,1,16,2,2,1,4,0.339585
64,272,272,32,3,1,17,8,1,16,2,4,1,2,1.8892
64,272,272,32,3,1,17,4,1,8,4,2,2,2,0.339425
64,272,272,32,3,1,34,4,1,8,4,1,1,2,0.6581600000000001
64,272,272,32,3,1,2,4,1,8,4,1,17,1,0.7957799999999999
64,272,272,32,3,1,2,2,1,8,4,1,17,1,1.088
64,272,272,32,3,1,17,4,1,8,4,1,2,1,0.36563500000000004
64,272,272,32,3,1,34,2,1,4,8,1,2,2,0.39434
64,272,272,32,3,1,17,4,1,16,2,2,1,1,0.40354999999999996
64,272,272,32,3,1,1,4,1,16,2,1,17,1,1.11418
64,272,272,32,3,1,17,2,1,4,8,2,4,2,0.448275
64,272,272,32,3,1,34,4,1,4,8,1,2,1,0.65723
64,272,272,32,3,1,17,4,1,16,2,1,1,4,0.334015
64,272,272,32,3,1,17,4,1,8,4,2,2,1,0.34365
64,272,272,32,3,1,17,2,1,8,4,1,2,4,0.40339
64,272,272,32,3,1,17,4,1,4,8,1,4,1,0.334545
