K,H,W,C,R,Th,Tw,Tk,Wh,Ww,Wk,Bh,Bw,Bk,Time
128, 264, 264, 256, 3, 1, 66, 2, 1, 1, 32, 1, 4, 1, 6.548384 
128, 264, 264, 256, 3, 1, 66, 2, 1, 2, 16, 2, 2, 1, 6.442656 
128, 264, 264, 256, 3, 1, 66, 2, 1, 2, 16, 1, 2, 2, 6.535904 
512, 484, 484, 128, 3, 1, 11, 2, 1, 2, 16, 1, 22, 1, 45.122498 
512, 484, 484, 128, 3, 1, 11, 2, 1, 4, 8, 2, 11, 1, 44.405376 
Error: /home/yufan/convolution_kernel/yufan-test-kernel/testbed/regression/CSG512x484x484_128_3.cu:170, code: 701, reason: too many resources requested for launch
512, 484, 484, 128, 3, 1, 22, 4, 1, 2, 16, 1, 11, 1, 38.094303 
256, 612, 612, 16, 3, 1, 9, 4, 1, 4, 8, 1, 17, 1, 4.182368 
256, 612, 612, 16, 3, 1, 17, 8, 1, 4, 8, 1, 9, 1, 22.885281 
1024, 588, 588, 16, 3, 1, 7, 2, 1, 4, 8, 1, 21, 1, 21.569408 
1024, 588, 588, 16, 3, 1, 7, 4, 1, 4, 8, 1, 21, 1, 15.690528 
1024, 270, 270, 1024, 3, 1, 5, 2, 1, 2, 16, 1, 27, 1, 220.571396 
Error: /home/yufan/convolution_kernel/yufan-test-kernel/testbed/regression/CSG1024x270x270_1024_3.cu:170, code: 701, reason: too many resources requested for launch
Error: /home/yufan/convolution_kernel/yufan-test-kernel/testbed/regression/CSG1024x270x270_1024_3.cu:170, code: 701, reason: too many resources requested for launch
1024, 270, 270, 1024, 3, 1, 9, 2, 1, 2, 16, 1, 15, 1, 212.443710 
Error: /home/yufan/convolution_kernel/yufan-test-kernel/testbed/regression/CSG1024x270x270_1024_3.cu:170, code: 701, reason: too many resources requested for launch
Error: /home/yufan/convolution_kernel/yufan-test-kernel/testbed/regression/CSG1024x270x270_1024_3.cu:170, code: 701, reason: too many resources requested for launch
1024, 270, 270, 1024, 3, 1, 10, 2, 1, 1, 32, 1, 27, 1, 153.885788 
1024, 270, 270, 1024, 3, 1, 15, 2, 1, 1, 32, 1, 18, 1, 166.057755 
1024, 270, 270, 1024, 3, 1, 15, 2, 1, 2, 16, 2, 9, 1, 188.356537 
1024, 270, 270, 1024, 3, 1, 15, 2, 1, 2, 16, 1, 9, 2, 173.381439 
1024, 270, 270, 1024, 3, 1, 15, 4, 1, 2, 16, 1, 9, 1, 216.673660 
Error: /home/yufan/convolution_kernel/yufan-test-kernel/testbed/regression/CSG1024x270x270_1024_3.cu:170, code: 701, reason: too many resources requested for launch
1024, 270, 270, 1024, 3, 1, 27, 2, 1, 1, 32, 1, 10, 1, 214.338272 
1024, 270, 270, 1024, 3, 1, 27, 2, 1, 2, 16, 2, 5, 1, 190.918777 
1024, 270, 270, 1024, 3, 1, 45, 2, 1, 2, 16, 1, 3, 2, 208.206177 
256, 400, 400, 64, 3, 1, 1, 4, 1, 16, 2, 1, 25, 1, 11.022464 
Error: /home/yufan/convolution_kernel/yufan-test-kernel/testbed/regression/CSG256x400x400_64_3.cu:170, code: 701, reason: too many resources requested for launch
256, 400, 400, 64, 3, 1, 2, 2, 1, 8, 4, 1, 25, 1, 14.643264 
256, 400, 400, 64, 3, 1, 2, 4, 1, 8, 4, 1, 25, 1, 11.653376 
256, 400, 400, 64, 3, 1, 4, 4, 1, 4, 8, 1, 25, 1, 6.881056 
Error: /home/yufan/convolution_kernel/yufan-test-kernel/testbed/regression/CSG256x400x400_64_3.cu:170, code: 701, reason: too many resources requested for launch
256, 400, 400, 64, 3, 1, 5, 2, 1, 16, 2, 4, 5, 1, 10.072672 
256, 400, 400, 64, 3, 1, 5, 4, 1, 4, 8, 1, 20, 1, 7.094944 
256, 400, 400, 64, 3, 1, 5, 4, 1, 8, 4, 1, 10, 2, 7.099072 
256, 400, 400, 64, 3, 1, 5, 4, 1, 16, 2, 4, 5, 1, 6.840928 
256, 400, 400, 64, 3, 1, 5, 4, 1, 16, 2, 5, 5, 1, 6.934688 
256, 400, 400, 64, 3, 1, 5, 4, 1, 16, 2, 1, 5, 2, 7.135456 
256, 400, 400, 64, 3, 1, 5, 8, 1, 8, 4, 1, 10, 2, 8.155808 
Error: /home/yufan/convolution_kernel/yufan-test-kernel/testbed/regression/CSG256x400x400_64_3.cu:170, code: 701, reason: too many resources requested for launch
256, 400, 400, 64, 3, 1, 5, 8, 1, 16, 2, 1, 5, 4, 8.152960 
Error: /home/yufan/convolution_kernel/yufan-test-kernel/testbed/regression/CSG256x400x400_64_3.cu:170, code: 701, reason: too many resources requested for launch
256, 400, 400, 64, 3, 1, 5, 16, 1, 16, 2, 1, 5, 2, 7.803584 
Error: /home/yufan/convolution_kernel/yufan-test-kernel/testbed/regression/CSG256x400x400_64_3.cu:170, code: 701, reason: too many resources requested for launch
Error: /home/yufan/convolution_kernel/yufan-test-kernel/testbed/regression/CSG256x400x400_64_3.cu:170, code: 701, reason: too many resources requested for launch
Error: /home/yufan/convolution_kernel/yufan-test-kernel/testbed/regression/CSG256x400x400_64_3.cu:170, code: 701, reason: too many resources requested for launch
256, 400, 400, 64, 3, 1, 10, 2, 1, 4, 8, 1, 10, 2, 6.489984 
256, 400, 400, 64, 3, 1, 10, 2, 1, 8, 4, 2, 5, 1, 6.366464 
256, 400, 400, 64, 3, 1, 10, 4, 1, 2, 16, 1, 20, 1, 5.570880 
256, 400, 400, 64, 3, 1, 10, 4, 1, 4, 8, 2, 10, 1, 5.585152 
256, 400, 400, 64, 3, 1, 10, 4, 1, 4, 8, 1, 10, 2, 5.564416 
256, 400, 400, 64, 3, 1, 10, 4, 1, 8, 4, 2, 5, 1, 5.485216 
256, 400, 400, 64, 3, 1, 10, 4, 1, 8, 4, 2, 5, 2, 5.588928 
256, 400, 400, 64, 3, 1, 10, 4, 1, 8, 4, 1, 5, 4, 5.564864 
Error: /home/yufan/convolution_kernel/yufan-test-kernel/testbed/regression/CSG256x400x400_64_3.cu:170, code: 701, reason: too many resources requested for launch
Error: /home/yufan/convolution_kernel/yufan-test-kernel/testbed/regression/CSG256x400x400_64_3.cu:170, code: 701, reason: too many resources requested for launch
256, 400, 400, 64, 3, 1, 10, 8, 1, 8, 4, 1, 5, 1, 5.932288 
256, 400, 400, 64, 3, 1, 10, 8, 1, 8, 4, 2, 5, 1, 6.847200 
Error: /home/yufan/convolution_kernel/yufan-test-kernel/testbed/regression/CSG256x400x400_64_3.cu:170, code: 701, reason: too many resources requested for launch
Error: /home/yufan/convolution_kernel/yufan-test-kernel/testbed/regression/CSG256x400x400_64_3.cu:170, code: 701, reason: too many resources requested for launch
256, 400, 400, 64, 3, 1, 20, 2, 1, 4, 8, 1, 5, 1, 7.481184 
256, 400, 400, 64, 3, 1, 20, 2, 1, 4, 8, 2, 5, 1, 8.027616 
256, 400, 400, 64, 3, 1, 20, 2, 1, 4, 8, 1, 5, 2, 7.849024 
256, 400, 400, 64, 3, 1, 20, 4, 1, 2, 16, 1, 10, 1, 7.024704 
256, 400, 400, 64, 3, 1, 20, 4, 1, 4, 8, 2, 5, 1, 6.966848 
256, 400, 400, 64, 3, 1, 20, 4, 1, 4, 8, 1, 5, 2, 7.031872 
Error: /home/yufan/convolution_kernel/yufan-test-kernel/testbed/regression/CSG256x400x400_64_3.cu:170, code: 701, reason: too many resources requested for launch
Error: /home/yufan/convolution_kernel/yufan-test-kernel/testbed/regression/CSG256x400x400_64_3.cu:170, code: 701, reason: too many resources requested for launch
256, 400, 400, 64, 3, 1, 25, 2, 1, 2, 16, 1, 8, 1, 7.502144 
256, 400, 400, 64, 3, 1, 25, 2, 1, 8, 4, 2, 2, 1, 8.177760 
256, 400, 400, 64, 3, 1, 25, 2, 1, 8, 4, 2, 2, 2, 8.787872 
256, 400, 400, 64, 3, 1, 25, 2, 1, 8, 4, 1, 2, 4, 7.493440 
256, 400, 400, 64, 3, 1, 25, 2, 1, 16, 2, 1, 1, 1, 12.777024 
256, 400, 400, 64, 3, 1, 25, 2, 1, 16, 2, 2, 1, 1, 8.949280 
256, 400, 400, 64, 3, 1, 25, 2, 1, 16, 2, 5, 1, 1, 11.846912 
256, 400, 400, 64, 3, 1, 25, 2, 1, 16, 2, 1, 1, 2, 8.570496 
256, 400, 400, 64, 3, 1, 25, 2, 1, 16, 2, 1, 1, 4, 7.662944 
256, 400, 400, 64, 3, 1, 25, 4, 1, 2, 16, 1, 8, 1, 14.531392 
256, 400, 400, 64, 3, 1, 25, 4, 1, 4, 8, 1, 4, 1, 10.713600 
256, 400, 400, 64, 3, 1, 25, 4, 1, 4, 8, 1, 4, 2, 14.576608 
256, 400, 400, 64, 3, 1, 25, 4, 1, 8, 4, 1, 2, 2, 10.745664 
256, 400, 400, 64, 3, 1, 25, 4, 1, 8, 4, 1, 2, 4, 14.477216 
256, 400, 400, 64, 3, 1, 25, 4, 1, 16, 2, 2, 1, 1, 11.730432 
256, 400, 400, 64, 3, 1, 25, 4, 1, 16, 2, 2, 1, 4, 11.398624 
256, 400, 400, 64, 3, 1, 25, 4, 1, 16, 2, 1, 1, 8, 14.588352 
256, 400, 400, 64, 3, 1, 25, 8, 1, 4, 8, 1, 4, 1, 32.679585 
256, 400, 400, 64, 3, 1, 25, 8, 1, 8, 4, 4, 2, 1, 33.230846 
256, 400, 400, 64, 3, 1, 25, 8, 1, 8, 4, 1, 2, 2, 32.727264 
256, 400, 400, 64, 3, 1, 25, 8, 1, 8, 4, 2, 2, 2, 32.869953 
256, 400, 400, 64, 3, 1, 25, 8, 1, 8, 4, 1, 2, 4, 47.668896 
256, 400, 400, 64, 3, 1, 25, 8, 1, 16, 2, 2, 1, 1, 28.960384 
256, 400, 400, 64, 3, 1, 25, 8, 1, 16, 2, 2, 1, 2, 32.709759 
256, 400, 400, 64, 3, 1, 25, 8, 1, 16, 2, 4, 1, 2, 34.270367 
256, 400, 400, 64, 3, 1, 40, 2, 1, 2, 16, 1, 5, 1, 10.616480 
256, 400, 400, 64, 3, 1, 50, 2, 1, 4, 8, 1, 2, 2, 9.344000 
256, 400, 400, 64, 3, 1, 50, 2, 1, 8, 4, 1, 1, 1, 12.268352 
256, 400, 400, 64, 3, 1, 50, 2, 1, 8, 4, 4, 1, 1, 9.609344 
256, 400, 400, 64, 3, 1, 50, 2, 1, 8, 4, 1, 1, 4, 9.332000 
64, 126, 126, 16, 3, 1, 7, 2, 1, 2, 16, 3, 9, 1, 0.093152 
64, 126, 126, 16, 3, 1, 9, 2, 1, 2, 16, 1, 7, 1, 0.061664 
64, 126, 126, 16, 3, 1, 9, 2, 1, 2, 16, 2, 7, 1, 0.061216 
64, 126, 126, 16, 3, 1, 9, 2, 1, 2, 16, 3, 7, 1, 0.091168 
64, 126, 126, 16, 3, 1, 21, 2, 1, 2, 16, 1, 3, 1, 0.057952 
512, 192, 192, 128, 3, 1, 1, 2, 1, 16, 2, 2, 12, 1, 22.026592 
512, 192, 192, 128, 3, 1, 1, 2, 1, 16, 2, 1, 12, 2, 26.967104 
512, 192, 192, 128, 3, 1, 1, 2, 1, 32, 1, 2, 6, 1, 25.047712 
512, 192, 192, 128, 3, 1, 1, 2, 1, 32, 1, 3, 6, 1, 28.893663 
512, 192, 192, 128, 3, 1, 1, 2, 1, 32, 1, 4, 6, 1, 23.459936 
512, 192, 192, 128, 3, 1, 1, 2, 1, 32, 1, 2, 6, 2, 22.028769 
512, 192, 192, 128, 3, 1, 1, 2, 1, 32, 1, 1, 6, 4, 27.025087 
512, 192, 192, 128, 3, 1, 1, 4, 1, 16, 2, 2, 12, 1, 13.897792 
