K,H,W,C,R,TH,TW,TK,WH,WW,WK,BH,BW,BK,Time
256,14,14,256,3,1,1,2,1,2,16,1,7,2,0.210145
256,14,14,256,3,1,7,2,1,2,16,2,1,4,0.27094
256,14,14,256,3,1,2,2,1,1,32,2,7,2,0.27686
256,14,14,256,3,1,7,4,1,2,16,2,1,1,0.306735
256,14,14,256,3,1,7,8,1,2,16,1,1,1,0.50186
256,14,14,256,3,1,7,4,1,1,32,1,2,1,0.32781
256,14,14,256,3,1,1,4,1,2,16,1,7,1,0.234605
256,14,14,256,3,1,1,2,1,2,16,1,7,4,0.299665
256,14,14,256,3,1,1,8,1,2,16,1,7,1,0.35507
256,14,14,256,3,1,14,4,1,1,32,2,1,1,0.41981
256,14,14,256,3,1,7,2,1,1,32,7,2,2,0.62291
256,14,14,256,3,1,7,2,1,1,32,1,2,1,0.25880000000000003
256,14,14,256,3,1,7,2,1,1,32,2,2,1,0.24616
256,14,14,256,3,1,2,2,1,1,32,1,7,2,0.19627499999999998
256,14,14,256,3,1,1,2,1,1,32,1,14,2,0.299885
256,14,14,256,3,1,7,2,1,1,32,2,2,2,0.27107
256,14,14,256,3,1,1,2,1,2,16,1,7,1,0.23271999999999998
256,14,14,256,3,1,1,8,1,2,16,2,7,1,0.5088
256,14,14,256,3,1,7,2,1,2,16,14,1,1,0.33866
256,14,14,256,3,1,7,2,1,2,16,14,1,2,0.605645
256,14,14,256,3,1,7,4,1,2,16,2,1,2,0.30704
256,14,14,256,3,1,14,2,1,1,32,2,1,1,0.30224
256,14,14,256,3,1,7,2,1,2,16,1,1,1,0.308545
256,14,14,256,3,1,7,8,1,2,16,2,1,1,0.42174500000000004
256,14,14,256,3,1,2,2,1,1,32,1,7,1,0.22334500000000002
256,14,14,256,3,1,14,2,1,1,32,7,1,2,0.48977499999999996
256,14,14,256,3,1,14,2,1,1,32,14,1,1,0.4728
256,14,14,256,3,1,1,4,1,2,16,2,7,1,0.23318
256,14,14,256,3,1,7,4,1,1,32,7,2,1,0.523405
256,14,14,256,3,1,14,4,1,1,32,1,1,1,0.4993
256,14,14,256,3,1,2,4,1,1,32,1,7,1,0.262255
256,14,14,256,3,1,1,4,1,1,32,1,14,1,0.2423
256,14,14,256,3,1,7,2,1,1,32,1,2,2,0.272735
256,14,14,256,3,1,7,2,1,2,16,2,1,1,0.248465
256,14,14,256,3,1,2,2,1,1,32,2,7,1,0.18104
256,14,14,256,3,1,7,4,1,1,32,2,2,1,0.30704
256,14,14,256,3,1,1,2,1,2,16,2,7,2,0.27763000000000004
256,14,14,256,3,1,14,2,1,1,32,2,1,2,0.303535
256,14,14,256,3,1,7,4,1,2,16,7,1,2,0.52243
256,14,14,256,3,1,7,4,1,2,16,1,1,1,0.37212999999999996
256,14,14,256,3,1,7,8,1,2,16,7,1,1,0.5377449999999999
256,14,14,256,3,1,7,2,1,2,16,2,1,2,0.24614
256,14,14,256,3,1,14,2,1,1,32,1,1,1,0.36989
256,14,14,256,3,1,14,2,1,1,32,1,1,2,0.32304
256,14,14,256,3,1,7,4,1,2,16,1,1,2,0.32758
256,14,14,256,3,1,7,8,1,2,16,14,1,1,0.90517
256,14,14,256,3,1,7,4,1,2,16,14,1,1,0.50192
256,14,14,256,3,1,7,4,1,2,16,7,1,1,0.31811
256,14,14,256,3,1,2,4,1,1,32,2,7,1,0.28093
256,14,14,256,3,1,7,2,1,2,16,1,1,2,0.25872
256,14,14,256,3,1,1,2,1,1,32,1,14,1,0.209505
256,14,14,256,3,1,1,2,1,1,32,2,14,1,0.27728
256,14,14,256,3,1,7,2,1,2,16,7,1,4,0.62282
256,14,14,256,3,1,7,2,1,1,32,14,2,1,0.605855
256,14,14,256,3,1,7,2,1,1,32,7,2,1,0.34235499999999996
256,14,14,256,3,1,1,2,1,2,16,2,7,1,0.19648
256,14,14,256,3,1,7,2,1,2,16,7,1,2,0.34208000000000005
256,14,14,256,3,1,1,4,1,2,16,1,7,2,0.24216
256,14,14,256,3,1,14,4,1,1,32,7,1,1,0.53174
256,14,14,256,3,1,14,2,1,1,32,7,1,1,0.30746
256,14,14,256,3,1,7,2,1,2,16,1,1,4,0.27274
256,14,14,256,3,1,14,4,1,1,32,14,1,1,0.85568
256,14,14,256,3,1,7,2,1,2,16,7,1,1,0.251245
