K,H,W,C,R,TK,TH,TW,BK,BH,BW,CMult,Time
256,68,68,128,3,1,1,2,32,2,2,8,0.95949
256,68,68,128,3,2,1,2,32,1,2,32,1.68448
256,68,68,128,3,1,4,4,32,1,1,2,0.39837
256,68,68,128,3,2,1,2,32,2,2,8,0.80128
256,68,68,128,3,8,2,2,32,1,1,4,3.01875
256,68,68,128,3,1,1,1,32,2,1,32,4.94899
256,68,68,128,3,1,1,2,32,4,1,16,1.67731
256,68,68,128,3,4,1,1,32,2,2,2,0.9984
256,68,68,128,3,8,1,1,32,2,2,1,0.953875
256,68,68,128,3,4,2,4,32,2,1,4,1.74131
256,68,68,128,3,2,1,2,32,1,1,4,1.20115
256,68,68,128,3,1,2,2,32,2,1,32,2.16013
256,68,68,128,3,4,1,4,32,1,1,1,0.56934
256,68,68,128,3,8,2,4,32,2,1,32,1.960445
256,68,68,128,3,4,1,1,32,4,2,8,1.24672
256,68,68,128,3,2,1,1,32,2,2,8,1.40186
256,68,68,128,3,2,1,2,32,1,2,8,0.88064
256,68,68,128,3,1,1,2,32,1,1,4,1.42848
256,68,68,128,3,8,1,1,32,1,2,32,2.73613
256,68,68,128,3,1,1,2,32,4,1,2,0.89907
256,68,68,128,3,1,1,4,32,2,1,32,1.52883
256,68,68,128,3,2,2,2,32,1,1,8,1.5815649999999999
256,68,68,128,3,1,1,17,32,4,1,2,0.33128
256,68,68,128,3,2,1,2,32,1,2,16,1.107985
256,68,68,128,3,1,1,1,32,1,2,2,1.64557
256,68,68,128,3,2,1,1,32,4,2,32,3.013645
256,68,68,128,3,4,2,2,32,2,1,4,1.76795
256,68,68,128,3,4,1,17,32,4,1,8,0.33587
256,68,68,128,3,1,2,4,32,1,1,2,0.55808
256,68,68,128,3,4,2,17,32,2,1,4,0.40346
256,68,68,128,3,8,2,2,32,1,1,8,3.22714
256,68,68,128,3,8,2,2,32,1,1,32,2.8846249999999998
256,68,68,128,3,4,2,2,32,2,2,4,1.7377099999999999
256,68,68,128,3,2,1,1,32,1,1,32,4.78515
256,68,68,128,3,1,2,17,32,1,1,32,0.43315
256,68,68,128,3,1,4,4,32,1,1,8,0.46694
256,68,68,128,3,4,1,1,32,2,1,8,1.69933
256,68,68,128,3,2,1,1,32,4,4,1,1.10541
256,68,68,128,3,1,1,1,32,2,2,2,1.47354
256,68,68,128,3,2,2,2,32,2,2,1,1.9497149999999999
256,68,68,128,3,8,1,1,32,4,4,1,0.98816
256,68,68,128,3,4,2,2,32,2,1,16,1.90672
256,68,68,128,3,1,1,2,32,1,2,32,1.91386
256,68,68,128,3,1,1,1,32,1,2,4,1.72851
256,68,68,128,3,4,1,1,32,2,4,2,0.95795
256,68,68,128,3,2,1,2,32,4,2,4,0.69581
256,68,68,128,3,1,1,1,32,2,1,4,1.99014
256,68,68,128,3,4,2,2,32,1,1,1,1.37216
256,68,68,128,3,2,2,2,32,1,1,16,1.60616
256,68,68,128,3,8,1,2,32,2,1,4,2.12378
256,68,68,128,3,1,2,2,32,1,1,8,0.991245
256,68,68,128,3,2,1,17,32,4,1,32,0.4864
256,68,68,128,3,2,1,1,32,4,4,4,1.19194
256,68,68,128,3,2,2,2,32,1,2,2,1.99784
256,68,68,128,3,2,2,2,32,2,2,8,2.19034
256,68,68,128,3,8,1,2,32,1,1,16,2.57126
256,68,68,128,3,4,1,2,32,2,2,32,1.655825
256,68,68,128,3,2,1,2,32,2,1,1,0.79462
256,68,68,128,3,8,1,2,32,1,1,8,2.29272
256,68,68,128,3,4,1,1,32,1,2,2,1.12128
256,68,68,128,3,2,1,1,32,4,4,32,2.51187
256,68,68,128,3,1,1,1,32,4,4,32,2.976785
256,68,68,128,3,8,1,1,32,4,2,32,2.74432
256,68,68,128,3,4,1,2,32,4,2,32,1.649135
256,68,68,128,3,2,1,4,32,4,1,2,0.61032
256,68,68,128,3,4,1,17,32,1,1,32,0.514065
256,68,68,128,3,4,2,2,32,2,2,32,1.89235
256,68,68,128,3,2,1,4,32,2,1,8,0.802305
256,68,68,128,3,8,1,1,32,1,2,16,1.7024
256,68,68,128,3,8,1,1,32,2,1,2,1.16173
256,68,68,128,3,1,2,4,32,1,1,32,1.22778
256,68,68,128,3,4,1,1,32,4,2,16,1.72749
256,68,68,128,3,4,1,4,32,2,1,1,0.5683199999999999
256,68,68,128,3,8,2,4,32,1,1,1,1.703955
256,68,68,128,3,8,1,1,32,1,4,8,1.0572949999999999
256,68,68,128,3,1,2,2,32,1,2,4,0.724
256,68,68,128,3,2,1,2,32,2,2,32,1.65376
256,68,68,128,3,1,1,1,32,1,2,32,3.56454
256,68,68,128,3,8,1,4,32,4,1,4,0.7465
256,68,68,128,3,2,1,2,32,4,2,1,0.688145
256,68,68,128,3,2,2,4,32,1,1,16,0.88166
