K,H,W,C,R,TK,TH,TW,BK,BH,BW,CMult,Time
512,34,34,256,3,2,2,2,32,1,1,1,1.4387050000000001
512,34,34,256,3,16,1,2,32,2,1,16,3.453425
512,34,34,256,3,8,1,2,32,2,1,16,2.228735
512,34,34,256,3,16,1,2,32,1,1,8,2.78272
512,34,34,256,3,1,1,17,32,1,1,32,0.39168000000000003
512,34,34,256,3,1,1,1,32,2,2,2,1.44282
512,34,34,256,3,16,1,1,32,2,2,4,4.372975
512,34,34,256,3,4,1,1,32,2,2,32,1.73363
512,34,34,256,3,2,2,17,32,1,1,16,0.334335
512,34,34,256,3,4,1,17,32,2,1,8,0.34457499999999996
512,34,34,256,3,8,1,1,32,2,2,1,1.223665
512,34,34,256,3,2,2,2,32,1,1,16,1.95022
512,34,34,256,3,4,1,1,32,1,2,2,1.08851
512,34,34,256,3,8,1,1,32,1,2,8,1.34864
512,34,34,256,3,1,1,17,32,2,1,16,0.34918
512,34,34,256,3,2,1,2,32,1,1,32,1.695725
512,34,34,256,3,4,1,1,32,2,2,2,1.04346
512,34,34,256,3,8,1,17,32,1,1,1,1.26362
512,34,34,256,3,2,1,17,32,2,1,16,0.32977500000000004
512,34,34,256,3,1,1,2,32,2,1,8,1.0757249999999998
512,34,34,256,3,8,1,2,32,2,1,8,1.96096
512,34,34,256,3,8,1,2,32,1,1,16,2.2302549999999997
512,34,34,256,3,4,1,1,32,1,2,8,1.325585
512,34,34,256,3,16,1,1,32,1,2,2,2.998785
512,34,34,256,3,4,2,17,32,1,1,32,0.489965
512,34,34,256,3,16,1,2,32,2,1,1,3.479565
512,34,34,256,3,16,1,1,32,1,1,1,5.144080000000001
512,34,34,256,3,8,2,2,32,1,1,8,2.64909
512,34,34,256,3,2,1,1,32,2,1,16,1.855985
512,34,34,256,3,1,1,1,32,1,2,16,1.943535
512,34,34,256,3,8,1,1,32,2,2,2,0.946195
512,34,34,256,3,8,1,17,32,2,1,4,0.371215
512,34,34,256,3,2,1,1,32,2,1,2,1.36245
512,34,34,256,3,16,2,2,32,1,1,32,2.967555
512,34,34,256,3,1,2,2,32,1,1,1,0.744435
512,34,34,256,3,2,1,1,32,1,2,2,1.274895
512,34,34,256,3,2,1,1,32,1,1,2,1.866225
512,34,34,256,3,4,1,17,32,2,1,32,0.39682
512,34,34,256,3,16,2,2,32,1,1,1,3.18464
512,34,34,256,3,8,1,17,32,1,1,2,0.65126
512,34,34,256,3,1,1,1,32,1,2,2,1.627665
512,34,34,256,3,4,2,2,32,1,1,32,2.4207549999999998
