K,H,W,C,R,TK,TH,TW,BK,BH,BW,CMult,Time
64,54,54,32,3,2,1,9,32,1,1,1,0.05427
64,54,54,32,3,1,3,27,32,2,1,1,0.10854
64,54,54,32,3,2,3,9,32,2,1,2,0.059395
64,54,54,32,3,2,3,3,32,9,2,1,0.11108499999999999
64,54,54,32,3,1,1,6,32,6,1,16,0.07373
64,54,54,32,3,2,2,3,32,1,3,32,0.10752
64,54,54,32,3,1,1,2,32,6,1,16,0.18944
64,54,54,32,3,2,3,9,32,3,1,4,0.05114
64,54,54,32,3,1,1,3,32,6,1,1,0.057855000000000004
64,54,54,32,3,2,2,18,32,3,1,16,0.05018
64,54,54,32,3,1,1,9,32,1,1,4,0.03894
64,54,54,32,3,2,3,18,32,1,1,32,0.08397
64,54,54,32,3,2,2,6,32,1,1,2,0.04506
64,54,54,32,3,1,3,3,32,1,6,32,0.07885
64,54,54,32,3,1,2,2,32,3,3,4,0.04813
64,54,54,32,3,2,2,3,32,3,6,4,0.0471
64,54,54,32,3,2,3,9,32,2,3,1,0.10138
64,54,54,32,3,1,6,6,32,1,3,4,0.03277
64,54,54,32,3,2,3,9,32,1,2,4,0.04502
64,54,54,32,3,2,6,6,32,9,1,4,0.09011
64,54,54,32,3,2,1,3,32,1,9,1,0.05837
64,54,54,32,3,2,2,27,32,1,1,16,0.04915
64,54,54,32,3,2,1,6,32,3,1,2,0.04195
64,54,54,32,3,1,2,2,32,9,1,8,0.09626
64,54,54,32,3,1,2,2,32,3,9,2,0.048095
64,54,54,32,3,1,2,3,32,9,3,1,0.06454
64,54,54,32,3,1,3,6,32,3,3,16,0.03994
64,54,54,32,3,1,1,9,32,6,3,1,0.05939
64,54,54,32,3,1,3,9,32,2,2,16,0.03686
64,54,54,32,3,2,1,1,32,2,2,8,0.12595
64,54,54,32,3,1,1,6,32,2,3,4,0.033295000000000005
64,54,54,32,3,2,3,6,32,6,1,8,0.05222
64,54,54,32,3,1,1,9,32,9,2,8,0.03686
64,54,54,32,3,2,1,2,32,3,3,4,0.05731
64,54,54,32,3,2,1,9,32,9,2,32,0.07885
64,54,54,32,3,2,1,9,32,9,3,1,0.10957
64,54,54,32,3,1,6,6,32,3,1,8,0.04509
64,54,54,32,3,1,6,9,32,3,1,4,0.04403
64,54,54,32,3,1,3,9,32,3,3,1,0.07475
64,54,54,32,3,2,1,2,32,6,3,2,0.05734
64,54,54,32,3,2,2,2,32,9,1,4,0.10752
64,54,54,32,3,1,1,9,32,9,3,1,0.07168
64,54,54,32,3,1,6,6,32,3,3,32,0.06045
64,54,54,32,3,1,3,9,32,1,3,8,0.02762
64,54,54,32,3,2,1,2,32,3,3,16,0.1065
64,54,54,32,3,1,2,2,32,1,9,2,0.03994
64,54,54,32,3,1,1,1,32,9,3,32,0.42391999999999996
64,54,54,32,3,2,1,3,32,6,2,1,0.06454
64,54,54,32,3,1,2,3,32,3,2,32,0.10851
64,54,54,32,3,2,1,18,32,9,1,8,0.04406
64,54,54,32,3,1,1,27,32,3,1,4,0.02765
64,54,54,32,3,1,2,6,32,9,1,16,0.06554
64,54,54,32,3,2,3,3,32,1,9,16,0.05222
64,54,54,32,3,2,3,3,32,2,6,1,0.07376
64,54,54,32,3,2,2,3,32,3,3,32,0.10957
64,54,54,32,3,1,2,9,32,1,3,8,0.02765
64,54,54,32,3,2,3,3,32,6,3,1,0.10138
64,54,54,32,3,2,3,9,32,6,1,16,0.0768
64,54,54,32,3,1,2,2,32,9,3,4,0.0512
64,54,54,32,3,1,1,1,32,6,3,1,0.09318
64,54,54,32,3,1,1,1,32,6,1,8,0.19558
64,54,54,32,3,2,1,9,32,6,3,16,0.0471
64,54,54,32,3,1,1,1,32,1,6,4,0.09011
64,54,54,32,3,1,3,3,32,2,2,4,0.04298
64,54,54,32,3,1,2,3,32,3,2,1,0.05734
64,54,54,32,3,1,2,9,32,1,1,8,0.03485
64,54,54,32,3,2,3,18,32,1,1,8,0.04403
64,54,54,32,3,2,1,6,32,9,3,1,0.09318
64,54,54,32,3,2,1,3,32,1,1,1,0.06038
64,54,54,32,3,2,1,1,32,2,9,4,0.08806
64,54,54,32,3,1,3,9,32,1,1,4,0.03277
64,54,54,32,3,2,1,27,32,1,1,32,0.0553
64,54,54,32,3,1,1,2,32,6,1,8,0.11363
64,54,54,32,3,2,1,9,32,2,3,8,0.03379
64,54,54,32,3,2,1,18,32,6,1,32,0.078835
64,54,54,32,3,2,3,3,32,3,2,1,0.07782
64,54,54,32,3,1,3,3,32,1,1,8,0.07168
64,54,54,32,3,2,1,1,32,2,6,8,0.1065
64,54,54,32,3,1,3,6,32,6,3,16,0.04915
64,54,54,32,3,1,9,9,32,3,1,4,0.06246
64,54,54,32,3,2,1,1,32,9,3,8,0.13824
64,54,54,32,3,1,2,6,32,1,3,2,0.03379
64,54,54,32,3,1,1,3,32,6,3,32,0.1321
64,54,54,32,3,1,3,6,32,1,3,4,0.02765
64,54,54,32,3,1,1,2,32,3,9,16,0.11779
64,54,54,32,3,2,1,1,32,2,6,1,0.07574
64,54,54,32,3,1,3,6,32,1,1,4,0.03584
64,54,54,32,3,1,2,2,32,1,3,8,0.05837
64,54,54,32,3,1,1,18,32,3,1,4,0.02867
64,54,54,32,3,1,3,9,32,6,2,4,0.03072
64,54,54,32,3,1,1,1,32,3,9,1,0.093695
64,54,54,32,3,1,1,6,32,1,3,32,0.06963
64,54,54,32,3,2,3,3,32,6,1,32,0.18483
64,54,54,32,3,1,1,1,32,2,6,32,0.31642
64,54,54,32,3,1,6,9,32,1,1,2,0.04816
64,54,54,32,3,2,3,3,32,9,2,16,0.083955
64,54,54,32,3,2,1,3,32,2,9,8,0.05632
64,54,54,32,3,2,1,18,32,3,1,1,0.0553
64,54,54,32,3,1,1,6,32,9,3,4,0.03686
64,54,54,32,3,1,1,3,32,3,6,1,0.05837
64,54,54,32,3,2,1,1,32,1,1,16,0.3328
64,54,54,32,3,2,2,9,32,1,3,8,0.03072
64,54,54,32,3,2,2,3,32,3,3,16,0.073235
64,54,54,32,3,2,1,9,32,2,3,4,0.03174
64,54,54,32,3,2,2,3,32,3,9,8,0.05632
64,54,54,32,3,2,1,3,32,9,2,4,0.04915
64,54,54,32,3,2,1,3,32,2,3,2,0.04608
64,54,54,32,3,2,1,9,32,1,2,2,0.03789
64,54,54,32,3,1,3,3,32,3,1,2,0.04406
64,54,54,32,3,1,2,27,32,3,1,2,0.03792
64,54,54,32,3,2,1,1,32,1,3,1,0.06963
64,54,54,32,3,2,6,9,32,3,1,4,0.08189
64,54,54,32,3,1,2,2,32,1,1,2,0.05837
64,54,54,32,3,1,9,9,32,1,1,32,0.13517
64,54,54,32,3,1,2,2,32,1,1,8,0.09523
64,54,54,32,3,1,2,18,32,9,1,1,0.09011
64,54,54,32,3,2,2,3,32,9,3,8,0.05936
64,54,54,32,3,1,9,9,32,1,3,4,0.04099
64,54,54,32,3,1,3,9,32,2,2,2,0.03478
64,54,54,32,3,1,2,3,32,3,6,1,0.05222
64,54,54,32,3,1,1,2,32,3,1,32,0.3072
64,54,54,32,3,1,3,9,32,3,2,4,0.02973
64,54,54,32,3,2,3,3,32,1,2,16,0.0768
64,54,54,32,3,1,2,9,32,3,3,8,0.03072
64,54,54,32,3,2,1,1,32,2,3,32,0.3287
64,54,54,32,3,2,1,9,32,9,1,1,0.07066
64,54,54,32,3,1,1,1,32,9,1,32,0.60314
64,54,54,32,3,2,1,3,32,1,3,4,0.04608
64,54,54,32,3,1,3,18,32,1,1,16,0.04301
64,54,54,32,3,2,2,3,32,1,3,16,0.07373
64,54,54,32,3,1,1,2,32,6,3,32,0.19254
64,54,54,32,3,1,2,6,32,3,1,1,0.05274
64,54,54,32,3,2,2,3,32,3,6,2,0.05222
64,54,54,32,3,2,1,2,32,2,3,8,0.06963
64,54,54,32,3,1,1,6,32,2,3,16,0.05222
64,54,54,32,3,1,1,9,32,9,1,8,0.03997
64,54,54,32,3,2,2,2,32,3,3,4,0.083475
64,54,54,32,3,1,2,3,32,9,3,8,0.0553
64,54,54,32,3,2,3,3,32,6,3,16,0.06758
64,54,54,32,3,2,1,1,32,9,3,32,0.39629
64,54,54,32,3,2,2,9,32,3,1,16,0.05734
64,54,54,32,3,1,1,1,32,3,6,8,0.13517
64,54,54,32,3,1,1,9,32,3,3,8,0.03478
64,54,54,32,3,1,2,3,32,1,1,8,0.07578
64,54,54,32,3,1,1,18,32,2,1,2,0.03482
64,54,54,32,3,2,3,9,32,6,2,16,0.06144
64,54,54,32,3,1,9,9,32,3,1,32,0.1679
64,54,54,32,3,1,2,3,32,1,9,4,0.03584
64,54,54,32,3,1,3,3,32,1,3,2,0.03584
64,54,54,32,3,2,1,1,32,1,3,4,0.07987
64,54,54,32,3,1,1,3,32,1,1,32,0.2263
64,54,54,32,3,1,1,1,32,2,2,1,0.08499
64,54,54,32,3,2,1,2,32,2,9,2,0.05629
64,54,54,32,3,1,1,2,32,3,3,32,0.17917
64,54,54,32,3,2,3,18,32,3,1,8,0.044
64,54,54,32,3,1,3,3,32,3,2,4,0.04403
64,54,54,32,3,1,1,3,32,6,3,16,0.09216
64,54,54,32,3,1,1,2,32,1,3,1,0.04915
64,54,54,32,3,1,3,3,32,2,9,4,0.03379
64,54,54,32,3,1,1,1,32,6,1,4,0.12906
64,54,54,32,3,1,1,9,32,1,3,32,0.06656
64,54,54,32,3,1,1,3,32,2,9,16,0.08397
64,54,54,32,3,1,1,9,32,9,2,4,0.0297
64,54,54,32,3,2,1,1,32,2,1,4,0.117745
64,54,54,32,3,2,1,9,32,6,1,4,0.03584
64,54,54,32,3,2,3,3,32,3,2,4,0.04506
64,54,54,32,3,2,1,2,32,3,1,16,0.17408
64,54,54,32,3,1,6,9,32,1,1,8,0.040945
64,54,54,32,3,2,2,9,32,3,3,1,0.12701
64,54,54,32,3,2,2,3,32,3,9,2,0.06042
64,54,54,32,3,2,2,2,32,1,1,2,0.07574
64,54,54,32,3,1,6,6,32,1,1,32,0.11469
64,54,54,32,3,2,3,9,32,2,2,1,0.08192
64,54,54,32,3,1,1,3,32,3,2,2,0.04915
64,54,54,32,3,1,2,9,32,3,3,1,0.05632
64,54,54,32,3,2,2,3,32,3,9,32,0.13824
64,54,54,32,3,2,2,2,32,3,9,16,0.11264
64,54,54,32,3,1,1,2,32,3,1,2,0.06554
64,54,54,32,3,2,6,6,32,1,1,32,0.16176
64,54,54,32,3,2,6,9,32,1,2,8,0.04915
64,54,54,32,3,1,3,6,32,2,3,32,0.0553
64,54,54,32,3,1,1,3,32,2,3,32,0.121325
64,54,54,32,3,1,3,6,32,3,1,16,0.05837
64,54,54,32,3,1,1,27,32,2,1,4,0.027630000000000002
64,54,54,32,3,1,3,6,32,6,3,1,0.08294
64,54,54,32,3,1,3,3,32,1,3,8,0.046095
64,54,54,32,3,1,1,2,32,1,1,8,0.1239
64,54,54,32,3,1,2,9,32,9,2,1,0.08806
64,54,54,32,3,2,3,3,32,6,2,8,0.0553
64,54,54,32,3,1,1,9,32,1,3,2,0.03174
64,54,54,32,3,1,1,1,32,1,6,8,0.1239
64,54,54,32,3,1,3,6,32,9,1,8,0.04608
64,54,54,32,3,2,1,27,32,9,1,16,0.05734
64,54,54,32,3,1,1,18,32,3,1,1,0.044
64,54,54,32,3,2,1,1,32,2,9,16,0.18739
64,54,54,32,3,2,3,18,32,3,1,16,0.06451
64,54,54,32,3,2,2,3,32,3,2,4,0.04915
64,54,54,32,3,2,3,6,32,6,3,4,0.05222
64,54,54,32,3,1,2,18,32,3,1,16,0.0369
64,54,54,32,3,1,1,6,32,9,1,8,0.05018
64,54,54,32,3,2,2,2,32,1,1,1,0.10445
64,54,54,32,3,2,2,9,32,1,3,32,0.064
64,54,54,32,3,2,1,9,32,9,3,4,0.04096
64,54,54,32,3,2,1,3,32,2,3,16,0.07782
64,54,54,32,3,2,3,9,32,3,1,32,0.10547
64,54,54,32,3,1,2,3,32,9,1,32,0.16691
64,54,54,32,3,1,1,1,32,1,6,16,0.19968
64,54,54,32,3,1,3,3,32,6,2,1,0.06042
64,54,54,32,3,1,6,6,32,3,1,4,0.046095
64,54,54,32,3,2,1,9,32,9,2,16,0.05018
64,54,54,32,3,2,1,1,32,6,2,16,0.21917
64,54,54,32,3,2,1,18,32,6,1,16,0.05018
64,54,54,32,3,1,3,3,32,2,1,1,0.0512
64,54,54,32,3,2,3,9,32,9,1,4,0.06144
64,54,54,32,3,2,2,3,32,1,1,8,0.07578
64,54,54,32,3,1,2,9,32,1,1,1,0.03994
